Id da partida,Campeonato,Data,Tempo,Time da casa,Time contra,Gols time casa,Gols time contra,Gols totais,Odd Over 2.5,Odd Under 2.5,Odd Over 3.5,Odd Under 3.5,Odd Casa Vence,Odd Empate,Odd Visitante Vence,Placar Exato,Odd Placar Exato,Data das odds,Odd BTTS,HORA,COLUNA,PROBABILIDADE,OUTCOME
1742562,Euro,2025-05-21,1900-01-01 20:02:00,Romênia,Portugal,2,3,5,2.87,2.4,2.87,2.4,2.87,3.5,2.4,2-3,7.0,2025-05-21 16:52:00,1,20,2,0.4675324675324675,0
1742569,Euro,2025-05-21,1900-01-01 20:05:00,Áustria,Dinamarca,3,1,4,2.55,2.8,2.55,2.8,2.55,3.3,2.8,3-1,8.5,2025-05-21 16:52:00,1,20,5,0.5166364186327888,2
1742574,Euro,2025-05-21,1900-01-01 20:08:00,Países Baixos,Albânia,2,0,2,3.25,2.25,3.25,2.25,2.25,3.4,3.25,2-0,8.5,2025-05-21 16:52:00,0,20,8,0.5653531955790485,2
1742585,Euro,2025-05-21,1900-01-01 20:11:00,Itália,República Tcheca,1,3,4,2.25,3.3,2.25,3.3,2.25,3.25,3.3,1-3,9.0,2025-05-21 16:52:00,1,20,11,0.5670103092783505,0
1742591,Euro,2025-05-21,1900-01-01 20:14:00,Inglaterra,França,1,0,1,2.75,2.45,2.75,2.45,2.45,3.6,2.75,1-0,6.0,2025-05-21 16:52:00,0,20,14,0.5212118236276146,2
1742599,Euro,2025-05-21,1900-01-01 20:17:00,República Tcheca,Turquia,1,1,2,2.87,2.6,2.87,2.6,2.6,3.2,2.87,1-1,10.0,2025-05-21 16:52:00,1,20,17,0.5173035328046143,1
1742605,Euro,2025-05-21,1900-01-01 20:20:00,Dinamarca,Escócia,1,0,1,3.1,2.3,3.1,2.3,2.3,3.4,3.1,1-0,8.0,2025-05-21 16:52:00,0,20,20,0.5533542565712045,2
1742611,Euro,2025-05-21,1900-01-01 20:23:00,Polônia,Países Baixos,1,3,4,2.7,2.6,2.7,2.6,2.7,3.4,2.6,1-3,7.5,2025-05-21 16:52:00,1,20,23,0.49321086261980834,0
1742617,Euro,2025-05-21,1900-01-01 20:26:00,Hungria,Eslovênia,1,1,2,3.1,2.4,3.1,2.4,2.4,3.2,3.1,1-1,10.0,2025-05-21 16:52:00,1,20,26,0.5447284345047924,1
1742624,Euro,2025-05-21,1900-01-01 20:29:00,Geórgia,Eslováquia,0,1,1,2.8,2.5,2.8,2.5,2.5,3.3,2.8,0-1,8.5,2025-05-21 16:52:00,0,20,29,0.5202123315639036,0
1742629,Euro,2025-05-21,1900-01-01 20:32:00,Países Baixos,Escócia,2,2,4,2.3,3.0,2.3,3.0,2.3,3.6,3.0,2-2,6.5,2025-05-21 16:52:00,1,20,32,0.548498845265589,1
1742640,Euro,2025-05-21,1900-01-01 20:35:00,Albânia,Alemanha,0,1,1,2.4,3.0,2.4,3.0,3.0,3.3,2.4,0-1,8.5,2025-05-21 16:52:00,0,20,35,0.460431654676259,0
1742648,Euro,2025-05-21,1900-01-01 20:38:00,Países Baixos,França,0,3,3,2.75,2.45,2.45,2.75,2.75,3.6,2.45,0-3,6.0,2025-05-21 16:52:00,0,20,38,0.4787881763723854,0
1742653,Euro,2025-05-21,1900-01-01 20:41:00,Eslováquia,República Tcheca,1,2,3,2.75,2.62,2.62,2.75,2.75,3.25,2.62,1-2,9.0,2025-05-21 16:52:00,1,20,41,0.49143262698975976,0
1742661,Euro,2025-05-21,1900-01-01 20:44:00,Croácia,Hungria,0,0,0,3.1,2.3,3.1,2.3,2.3,3.4,3.1,0-0,8.0,2025-05-21 16:52:00,0,20,44,0.5533542565712045,1
1742667,Euro,2025-05-21,1900-01-01 20:47:00,Dinamarca,Polônia,2,2,4,2.25,3.3,2.25,3.3,2.25,3.3,3.3,2-2,9.0,2025-05-21 16:52:00,1,20,47,0.5673076923076923,1
1742676,Euro,2025-05-21,1900-01-01 20:50:00,Albânia,República Tcheca,1,1,2,2.9,2.6,2.9,2.6,2.6,3.1,2.9,1-1,11.0,2025-05-21 16:52:00,1,20,50,0.5189101260675071,1
1742423,Euro,2025-05-21,1900-01-01 19:02:00,Portugal,Eslovênia,3,0,3,2.15,3.6,3.6,2.15,2.15,3.3,3.6,3-0,9.0,2025-05-21 16:52:00,0,19,2,0.5895564289724874,2
1742429,Euro,2025-05-21,1900-01-01 19:05:00,Países Baixos,República Tcheca,0,2,2,3.1,2.35,3.1,2.35,2.35,3.4,3.1,0-2,8.0,2025-05-21 16:52:00,0,19,5,0.5493898895990703,0
1742434,Euro,2025-05-21,1900-01-01 19:08:00,Romênia,Alemanha,1,4,5,3.0,2.3,3.0,2.3,3.0,3.6,2.3,1-4,6.5,2025-05-21 16:52:00,1,19,8,0.451501154734411,0
1742442,Euro,2025-05-21,1900-01-01 19:11:00,Eslováquia,Suíça,0,0,0,2.5,2.75,2.5,2.75,2.75,3.5,2.5,0-0,7.0,2025-05-21 16:52:00,0,19,11,0.48267326732673277,1
1742452,Euro,2025-05-21,1900-01-01 19:14:00,Escócia,Eslovênia,0,1,1,3.1,2.4,3.1,2.4,2.4,3.25,3.1,0-1,9.0,2025-05-21 16:52:00,0,19,14,0.5449338336954375,0
1742458,Euro,2025-05-21,1900-01-01 19:17:00,Croácia,Suíça,0,1,1,2.9,2.37,2.9,2.37,2.37,3.5,2.9,0-1,7.0,2025-05-21 16:52:00,0,19,17,0.5366340153250652,0
1742465,Euro,2025-05-21,1900-01-01 19:20:00,Áustria,República Tcheca,1,1,2,3.1,2.4,3.1,2.4,2.4,3.25,3.1,1-1,9.0,2025-05-21 16:52:00,1,19,20,0.5449338336954375,1
1742470,Euro,2025-05-21,1900-01-01 19:23:00,Alemanha,Inglaterra,1,3,4,2.5,2.7,2.5,2.7,2.5,3.6,2.7,1-3,6.5,2025-05-21 16:52:00,1,19,23,0.5141342756183745,0
1742476,Euro,2025-05-21,1900-01-01 19:26:00,Escócia,Polônia,0,1,1,3.0,2.4,3.0,2.4,2.4,3.3,3.0,0-1,8.5,2025-05-21 16:52:00,0,19,26,0.5395683453237411,0
1742487,Euro,2025-05-21,1900-01-01 19:29:00,Portugal,Geórgia,0,2,2,4.0,1.95,4.0,1.95,1.95,3.5,4.0,0-2,8.0,2025-05-21 16:52:00,0,19,29,0.6253275109170306,0
1742493,Euro,2025-05-21,1900-01-01 19:32:00,Alemanha,Espanha,5,0,5,2.37,2.87,2.37,2.87,2.37,3.6,2.87,5-0,6.5,2025-05-21 16:52:00,0,19,32,0.5350659824903861,2
1742499,Euro,2025-05-21,1900-01-01 19:35:00,Bélgica,Polônia,3,2,5,2.2,3.3,2.2,3.3,2.2,3.4,3.3,3-2,8.0,2025-05-21 16:52:00,1,19,35,0.5720338983050847,2
1742505,Euro,2025-05-21,1900-01-01 19:38:00,Dinamarca,França,0,0,0,2.5,2.8,2.5,2.8,2.8,3.5,2.5,0-0,7.5,2025-05-21 16:52:00,0,19,38,0.47945205479452063,1
1742514,Euro,2025-05-21,1900-01-01 19:41:00,Escócia,Geórgia,1,0,1,3.4,2.2,3.4,2.2,2.2,3.4,3.4,1-0,8.0,2025-05-21 16:52:00,0,19,41,0.5769230769230769,2
1742521,Euro,2025-05-21,1900-01-01 19:44:00,Itália,Albânia,2,0,2,3.5,2.2,3.5,2.2,2.2,3.25,3.5,2-0,10.0,2025-05-21 16:52:00,0,19,44,0.5805529075309818,2
1742526,Euro,2025-05-21,1900-01-01 19:47:00,Bélgica,Inglaterra,1,0,1,2.55,2.7,2.55,2.7,2.7,3.6,2.55,1-0,6.5,2025-05-21 16:52:00,0,19,47,0.4895287958115183,2
1742532,Euro,2025-05-21,1900-01-01 19:50:00,Espanha,Eslováquia,4,1,5,2.0,3.6,2.0,3.6,2.0,3.6,3.6,4-1,7.0,2025-05-21 16:52:00,1,19,50,0.6052631578947368,2
1742541,Euro,2025-05-21,1900-01-01 19:53:00,Países Baixos,Inglaterra,2,1,3,2.75,2.45,2.45,2.75,2.75,3.6,2.45,2-1,6.0,2025-05-21 16:52:00,1,19,53,0.4787881763723854,2
1742549,Euro,2025-05-21,1900-01-01 19:56:00,República Tcheca,Dinamarca,1,1,2,2.75,2.7,2.75,2.7,2.7,3.2,2.75,1-1,10.0,2025-05-21 16:52:00,1,19,56,0.5032173738186205,1
