HORA,COLUNA,Time_Contra,Time_Casa,Data_ano,Data_mes,Data_dia,Casa Gols Previsão,Visitante Gols Previsão
7,2,Penarol,Itaquera,2025,5,29,1.6381474399698737,0.4659673344076051
7,2,Lima,Itaquera,2025,5,29,0.7430761325820862,0.7069494688474681
7,2,Belo Horizonte,Itaquera,2025,5,29,1.737378035095933,1.2325761107428463
7,2,Guayaquil,Itaquera,2025,5,29,0.9394343392772856,0.9372591796949673
7,2,Agua Branca,Itaquera,2025,5,29,1.5142301192365024,0.8089316121442315
7,2,Bogota,Itaquera,2025,5,29,1.105209529173884,1.3007389301514491
7,2,Rio de Janeiro,Itaquera,2025,5,29,1.4547898532286578,1.2276086293711466
7,2,Asuncion,Itaquera,2025,5,29,1.1318769663497303,0.1546909385771583
7,2,Medellin,Itaquera,2025,5,29,1.5945080957484985,0.7251497924385353
7,2,Sao Paulo,Itaquera,2025,5,29,0.6542993012908455,0.5412901623141129
7,2,La Plata,Itaquera,2025,5,29,0.9319684109324671,0.9804883262753733
7,2,Santiago,Itaquera,2025,5,29,1.1441771857623402,0.4623783344926756
7,2,Buenos Aires,Itaquera,2025,5,29,1.2587907984685747,0.8062567076605562
7,2,Avellaneda,Itaquera,2025,5,29,1.4016315957749867,0.885112874855801
7,2,Quito,Itaquera,2025,5,29,1.4431666428767567,1.2182216962631536
7,2,La Boca,Itaquera,2025,5,29,0.8571853173116131,0.893652599046181
7,2,Porto Alegre,Itaquera,2025,5,29,2.2687751104325127,0.35281809598236646
7,2,Montevideo,Itaquera,2025,5,29,1.572523801428,0.014722851321565165
7,2,Santos,Itaquera,2025,5,29,0.8421942716733705,0.474611279720537
7,2,Lima,Penarol,2025,5,29,1.1255547865572704,1.6317061034986924
7,2,Belo Horizonte,Penarol,2025,5,29,1.3402954355656505,2.4370208631028394
7,2,Guayaquil,Penarol,2025,5,29,1.7370414298479335,2.2969198888937825
7,2,Agua Branca,Penarol,2025,5,29,1.3310064789723843,2.3353233977448693
7,2,Bogota,Penarol,2025,5,29,2.538716967886749,1.9131823060446287
7,2,Rio de Janeiro,Penarol,2025,5,29,1.8534598232047519,2.194510311865559
7,2,Asuncion,Penarol,2025,5,29,2.9679712858457936,1.9609270821089229
7,2,Medellin,Penarol,2025,5,29,1.4301487540919096,2.8290869164002705
7,2,Sao Paulo,Penarol,2025,5,29,2.638098710187975,2.3610236657571693
