HORA,COLUNA,Time_Contra,Time_Casa,Data_ano,Data_mes,Data_dia,Casa Gols Previsão,Visitante Gols Previsão
6,2,Países Baixos,Itália,2025,5,29,1.4871407563887447,1.712803756314554
6,2,Ucrânia,Itália,2025,5,29,0.9027201143527038,1.241839787529665
6,2,Alemanha,Itália,2025,5,29,1.097338687858901,0.6480938266826666
6,2,República Tcheca,Itália,2025,5,29,1.0372301239884194,1.2434619880246005
6,2,Inglaterra,Itália,2025,5,29,1.694638205842873,0.8584522813596287
6,2,Sérvia,Itália,2025,5,29,1.1337141197733391,0.4054295860187743
6,2,Albânia,Itália,2025,5,29,1.0485773621382355,0.38812936860539204
6,2,Bélgica,Itália,2025,5,29,2.354901581790388,0.5656989719395346
6,2,Croácia,Itália,2025,5,29,2.468187072447145,0.9439344335586889
6,2,Turquia,Itália,2025,5,29,0.9177253956166055,0.04052979762343779
6,2,Eslováquia,Itália,2025,5,29,2.8849169867305604,0.26809724115284256
6,2,Escócia,Itália,2025,5,29,0.9397285341452658,0.697474103148432
6,2,Geórgia,Itália,2025,5,29,2.304127887843529,0.7733349103912781
6,2,Romênia,Itália,2025,5,29,2.566533828657472,1.601076660101605
6,2,Polônia,Itália,2025,5,29,1.66150895239705,1.3306859680375804
6,2,Hungria,Itália,2025,5,29,2.2868190999352156,0.9500990161964458
6,2,Áustria,Itália,2025,5,29,2.007408132588347,1.9837806198864245
6,2,Eslovênia,Itália,2025,5,29,2.3106255609492425,0.658097084789587
6,2,Portugal,Itália,2025,5,29,2.8197139926844743,1.187065552770474
6,2,Suíça,Itália,2025,5,29,1.404543657474485,0.5740115200424536
6,2,França,Itália,2025,5,29,0.8137495270855922,1.02242462047759
6,2,Dinamarca,Itália,2025,5,29,0.7980402049659475,0.7154771190394745
6,2,Espanha,Itália,2025,5,29,1.0374811478737607,0.304126412156503
6,2,Ucrânia,Países Baixos,2025,5,29,0.6044636689051173,1.1920108728123262
6,2,Alemanha,Países Baixos,2025,5,29,0.3235642449206988,0.31496132363287854
6,2,República Tcheca,Países Baixos,2025,5,29,0.9082057413554836,0.29497421732153584
6,2,Inglaterra,Países Baixos,2025,5,29,0.7475823684507913,1.4186212435670325
6,2,Sérvia,Países Baixos,2025,5,29,0.7681769749043288,1.1078581708465876
6,2,Albânia,Países Baixos,2025,5,29,0.41293841883536864,0.6617703933770227
6,2,Bélgica,Países Baixos,2025,5,29,1.456690493204881,-0.03089940858729654
6,2,Croácia,Países Baixos,2025,5,29,1.6921179654184215,1.035970037410579
6,2,Turquia,Países Baixos,2025,5,29,0.45859656673436183,0.40324361413043375
6,2,Eslováquia,Países Baixos,2025,5,29,2.223240788228939,0.7259159119283032
6,2,Escócia,Países Baixos,2025,5,29,0.8964628341911464,0.378008520961619
6,2,Geórgia,Países Baixos,2025,5,29,1.0368558847122897,0.47424282402332135
6,2,Romênia,Países Baixos,2025,5,29,0.9811987363155258,0.9238194331630347
6,2,Polônia,Países Baixos,2025,5,29,0.7795022569314181,0.700114833662498
6,2,Hungria,Países Baixos,2025,5,29,1.0070473457211118,0.6602381972801794
6,2,Áustria,Países Baixos,2025,5,29,1.5404461978902375,0.2437731588203438
6,2,Eslovênia,Países Baixos,2025,5,29,1.0952602279464407,0.6861421772852538
6,2,Portugal,Países Baixos,2025,5,29,1.5303879400841247,0.8795516935934439
6,2,Suíça,Países Baixos,2025,5,29,0.9679661114678759,0.3941971851397882
6,2,França,Países Baixos,2025,5,29,0.4606832757027385,0.9097266036484383
6,2,Dinamarca,Países Baixos,2025,5,29,0.3936125838554739,0.30513402189472916
6,2,Espanha,Países Baixos,2025,5,29,0.37756318938230826,0.01785471064812721
6,2,Alemanha,Ucrânia,2025,5,29,1.6968951822066187,0.9512913881813699
6,2,República Tcheca,Ucrânia,2025,5,29,1.1036929003602098,0.9242430546137942
6,2,Inglaterra,Ucrânia,2025,5,29,1.4856387914826383,1.0665619509897892
6,2,Sérvia,Ucrânia,2025,5,29,1.6877546320595105,1.0588248319033355
6,2,Albânia,Ucrânia,2025,5,29,0.833266002350893,0.37762798796910996
6,2,Bélgica,Ucrânia,2025,5,29,1.0765320036313322,0.390329058537538
6,2,Croácia,Ucrânia,2025,5,29,1.1283123885148523,1.323367668091787
6,2,Turquia,Ucrânia,2025,5,29,1.0083991063569788,0.8284091329441671
6,2,Eslováquia,Ucrânia,2025,5,29,2.2694040810958462,0.3274693980365476
6,2,Escócia,Ucrânia,2025,5,29,0.7892069778530411,0.8304220545444747
6,2,Geórgia,Ucrânia,2025,5,29,0.8900322201428479,0.8492294812066582
6,2,Romênia,Ucrânia,2025,5,29,1.8264430677189298,1.6386922694265507
6,2,Polônia,Ucrânia,2025,5,29,1.0942569161997595,1.238666873955937
6,2,Hungria,Ucrânia,2025,5,29,1.4403769714287067,1.3094175023216728
6,2,Áustria,Ucrânia,2025,5,29,1.0933541226141867,1.3596477894423884
6,2,Eslovênia,Ucrânia,2025,5,29,1.4004951219995032,0.910848229096646
6,2,Portugal,Ucrânia,2025,5,29,1.0604088707468529,1.8491273324407422
6,2,Suíça,Ucrânia,2025,5,29,1.724508785541657,1.2728757987510726
6,2,França,Ucrânia,2025,5,29,1.14244972857175,1.0637321910324773
6,2,Dinamarca,Ucrânia,2025,5,29,1.1477234114241976,1.0766813821015262
6,2,Espanha,Ucrânia,2025,5,29,0.7710604720528371,0.268530995526397
6,2,República Tcheca,Alemanha,2025,5,29,0.9383963965313038,0.9021114500539907
6,2,Inglaterra,Alemanha,2025,5,29,1.1166399907779962,0.7713450916401469
6,2,Sérvia,Alemanha,2025,5,29,1.3440033195088938,1.039872791509073
6,2,Albânia,Alemanha,2025,5,29,0.6208751791849135,0.3841154027229357
6,2,Bélgica,Alemanha,2025,5,29,0.7748522343839848,0.2526918599588965
6,2,Croácia,Alemanha,2025,5,29,1.0619932959386238,0.866976546796528
6,2,Turquia,Alemanha,2025,5,29,0.834042173700567,0.2504615724939811
6,2,Eslováquia,Alemanha,2025,5,29,1.9846680205525342,0.4281536785683471
6,2,Escócia,Alemanha,2025,5,29,0.3628593324443059,-0.01433985131677611
6,2,Geórgia,Alemanha,2025,5,29,1.0458788319903871,0.5355421667284548
6,2,Romênia,Alemanha,2025,5,29,1.5601253117508884,0.9108975836580635
6,2,Polônia,Alemanha,2025,5,29,1.0367119815744488,0.7565033234339443
6,2,Hungria,Alemanha,2025,5,29,1.3706864761640436,0.8376000458106222
6,2,Áustria,Alemanha,2025,5,29,0.6408177595926284,0.8269562839961327
6,2,Eslovênia,Alemanha,2025,5,29,1.534453028906647,0.31093953718796896
6,2,Portugal,Alemanha,2025,5,29,1.292536522264478,0.8109705523000569
6,2,Suíça,Alemanha,2025,5,29,1.3361692756075871,0.5618083864411341
6,2,França,Alemanha,2025,5,29,1.0239116921831144,0.43301446408039607
6,2,Dinamarca,Alemanha,2025,5,29,0.9185217337224344,0.16933042984094815
6,2,Espanha,Alemanha,2025,5,29,0.5651779810070432,0.18283973145321922
6,2,Inglaterra,República Tcheca,2025,5,29,-0.147429409076888,0.16474563332190445
6,2,Sérvia,República Tcheca,2025,5,29,0.010647965916484602,1.1239336095338617
6,2,Albânia,República Tcheca,2025,5,29,0.39874415706452704,0.6293432374650246
6,2,Bélgica,República Tcheca,2025,5,29,0.791310402318602,0.5208523620134466
6,2,Croácia,República Tcheca,2025,5,29,0.14622908758677028,0.7150358351574359
6,2,Turquia,República Tcheca,2025,5,29,0.18936783680124156,0.2293334456839286
6,2,Eslováquia,República Tcheca,2025,5,29,0.6444657014518373,0.36306835248526015
6,2,Escócia,República Tcheca,2025,5,29,0.1486340930976321,0.2523645600744841
6,2,Geórgia,República Tcheca,2025,5,29,1.2209518063296063,1.259463807371119
6,2,Romênia,República Tcheca,2025,5,29,1.5338125790790744,0.6583125932143692
6,2,Polônia,República Tcheca,2025,5,29,0.39208362270352637,0.5135744191569628
6,2,Hungria,República Tcheca,2025,5,29,0.9355534792912708,0.9944775701016546
6,2,Áustria,República Tcheca,2025,5,29,-0.10961799244864774,0.40066016429665086
6,2,Eslovênia,República Tcheca,2025,5,29,0.28786600605475815,0.7899632444651081
6,2,Portugal,República Tcheca,2025,5,29,0.5123725575218002,0.5541139195877021
6,2,Suíça,República Tcheca,2025,5,29,0.4728515979679971,0.7654796560238887
6,2,França,República Tcheca,2025,5,29,-0.02661038832992736,0.9109383604264009
6,2,Dinamarca,República Tcheca,2025,5,29,0.2518855129538036,0.12334266130919935
6,2,Espanha,República Tcheca,2025,5,29,0.9936541097464956,0.27061188981702483
6,2,Sérvia,Inglaterra,2025,5,29,0.12204159567034002,0.8301630344733489
6,2,Albânia,Inglaterra,2025,5,29,0.3179669360528669,0.1223744621740899
6,2,Bélgica,Inglaterra,2025,5,29,0.9989587864694843,0.3281868248189067
6,2,Croácia,Inglaterra,2025,5,29,0.12230972625518419,0.5850496546480488
6,2,Turquia,Inglaterra,2025,5,29,0.2933963512061878,0.06320123772389566
6,2,Eslováquia,Inglaterra,2025,5,29,0.851762761649135,0.6776576632338384
6,2,Escócia,Inglaterra,2025,5,29,0.22802322002069916,0.044873561115929814
6,2,Geórgia,Inglaterra,2025,5,29,1.1841746275746043,0.5717870764974127
6,2,Romênia,Inglaterra,2025,5,29,1.3900406806491126,0.8245968431662853
6,2,Polônia,Inglaterra,2025,5,29,0.36334799532289286,0.5270793118957482
6,2,Hungria,Inglaterra,2025,5,29,1.0037978603567852,0.7526992781350866
6,2,Áustria,Inglaterra,2025,5,29,0.02334952296411623,0.43405067884918036
6,2,Eslovênia,Inglaterra,2025,5,29,0.4125787656271496,0.5635292603242426
6,2,Portugal,Inglaterra,2025,5,29,0.6621539416276437,0.2672624327094468
6,2,Suíça,Inglaterra,2025,5,29,0.41864195469812504,0.5821723364504142
6,2,França,Inglaterra,2025,5,29,0.03890366095847944,0.7869346110403234
