FAIXA_PROB,total,acertos,erros,taxa_acerto
0.55-0.60,9,4,5,44.44444444444444
0.60-0.65,18,17,1,94.44444444444444
0.65-0.70,6,6,0,100.0
0.70-0.75,0,0,0,
0.75-0.80,0,0,0,
0.80-0.85,0,0,0,
