NOME_CAMPEONATO,total,acertos,erros,taxa_acerto
COPA,9,8,1,88.88888888888889
EURO,7,4,3,57.14285714285714
PREMIER,9,8,1,88.88888888888889
SUPER,8,7,1,87.5
