MERCADO,TAXA_MEDIA,MELHOR_CAMPEONATO,MELHOR_CICLO
Under 1.5,0.33645833333333336,SUPER,MADRUGADA
Under 2.5,0.4984375,COPA,MADRUGADA
Placar 0x0,0.2109375,SUPER,MADRUGADA
