HORA,COLUNA,Time_Contra,Time_Casa,Data_ano,Data_mes,Data_dia,Casa Gols Previsão,Visitante Gols Previsão
6,2,Liverpool,Tottenham,2025,5,30,0.7085298070273842,0.0556663065361171
6,2,Aston,Tottenham,2025,5,30,1.922909609818834,0.09349853046610959
6,2,Everton,Tottenham,2025,5,30,1.733084535259912,1.497539058633263
6,2,Wolverhampton,Tottenham,2025,5,30,1.584037592593711,0.1546469035646324
6,2,Southampton,Tottenham,2025,5,30,1.2216313895702637,1.2215261601495058
6,2,West Ham,Tottenham,2025,5,30,1.8870410591410332,1.763219543589475
6,2,Palace,Tottenham,2025,5,30,2.171034240776916,0.6232384287269299
6,2,Burnley,Tottenham,2025,5,30,1.5616437587226026,1.6505056718413644
6,2,Brentford,Tottenham,2025,5,30,0.5562846747421857,0.5913083981460304
6,2,Leeds,Tottenham,2025,5,30,1.290523222278026,0.15244044350265767
6,2,Norwich,Tottenham,2025,5,30,1.4529236206632683,1.514688208397606
6,2,Islington,Tottenham,2025,5,30,1.1153030794466698,1.7532787923135498
6,2,Newcastle,Tottenham,2025,5,30,2.0326630419706135,0.400228567134246
6,2,United,Tottenham,2025,5,30,1.679827410108015,-0.05897076385836002
6,2,Watford,Tottenham,2025,5,30,0.5478104637407611,-0.025227384329008225
6,2,City,Tottenham,2025,5,30,1.8238229219215867,0.9884256695514636
6,2,Leicester,Tottenham,2025,5,30,1.6970850198801064,0.5451146930552854
6,2,Chelsea,Tottenham,2025,5,30,0.43810226228463023,1.6449106336490718
6,2,Brighton,Tottenham,2025,5,30,1.795289571335746,0.49638994227409705
6,2,Aston,Liverpool,2025,5,30,1.655980493011937,0.08195072836461692
6,2,Everton,Liverpool,2025,5,30,1.4565764490679964,1.6307997608227238
6,2,Wolverhampton,Liverpool,2025,5,30,1.3551459235391916,0.09279841346723629
6,2,Southampton,Liverpool,2025,5,30,0.3789411078735271,1.4287680077718352
6,2,West Ham,Liverpool,2025,5,30,1.498948602436607,1.6502710663423026
6,2,Palace,Liverpool,2025,5,30,1.8378691815151154,1.342419205092378
6,2,Burnley,Liverpool,2025,5,30,0.5076035905373595,1.7686455816168594
6,2,Brentford,Liverpool,2025,5,30,0.07791448018319364,0.9508993728391666
6,2,Leeds,Liverpool,2025,5,30,0.8851003103845408,0.9097117730777882
6,2,Norwich,Liverpool,2025,5,30,1.6286580678962272,1.4362922698086091
6,2,Islington,Liverpool,2025,5,30,0.5726377135986571,1.4600398311888676
6,2,Newcastle,Liverpool,2025,5,30,1.562100206729446,0.7500056150317129
6,2,United,Liverpool,2025,5,30,1.319316089509493,0.32778411928589946
6,2,Watford,Liverpool,2025,5,30,0.1977187566074138,0.007454968656116878
6,2,City,Liverpool,2025,5,30,1.5375576015706114,1.1194060121615916
6,2,Leicester,Liverpool,2025,5,30,1.9037187632063783,0.5321132322773299
6,2,Chelsea,Liverpool,2025,5,30,0.053045885786944406,1.8473525034202298
6,2,Brighton,Liverpool,2025,5,30,1.880803171540938,0.6469304363953408
6,2,Everton,Aston,2025,5,30,0.6944609479653762,1.4642987868967379
6,2,Wolverhampton,Aston,2025,5,30,1.225618331471655,0.04216411557881735
6,2,Southampton,Aston,2025,5,30,0.9991907616600498,1.0627042083347176
6,2,West Ham,Aston,2025,5,30,0.9617818967617757,1.6613166241069732
6,2,Palace,Aston,2025,5,30,0.4831290578560551,1.584971308172082
6,2,Burnley,Aston,2025,5,30,1.0196971639091252,1.6454803281092147
6,2,Brentford,Aston,2025,5,30,0.26472735210927173,1.1108014206727144
6,2,Leeds,Aston,2025,5,30,1.0923345557306936,0.8227764941838064
6,2,Norwich,Aston,2025,5,30,0.4853836476886277,1.36567360789625
6,2,Islington,Aston,2025,5,30,0.5977668113277865,1.703378723067606
6,2,Newcastle,Aston,2025,5,30,0.8437376861398072,0.9085488335493511
6,2,United,Aston,2025,5,30,0.20383671656024457,0.15215014681554304
6,2,Watford,Aston,2025,5,30,0.1511568903748502,-0.07164627044547207
6,2,City,Aston,2025,5,30,0.7869302026827657,1.045663117937205
6,2,Leicester,Aston,2025,5,30,0.5748172430564107,0.8092692678444126
6,2,Chelsea,Aston,2025,5,30,0.2276695594248109,1.572228955123553
6,2,Brighton,Aston,2025,5,30,1.0578770329012042,1.1218601359893376
6,2,Wolverhampton,Everton,2025,5,30,1.4765034232615475,0.3909077309469079
6,2,Southampton,Everton,2025,5,30,0.9748387188226686,1.159198270408184
6,2,West Ham,Everton,2025,5,30,1.7094993454852754,1.367846974446887
6,2,Palace,Everton,2025,5,30,1.9196835088509652,1.0027857857145324
6,2,Burnley,Everton,2025,5,30,1.7833953205354183,1.3822575995764446
6,2,Brentford,Everton,2025,5,30,0.44230899083633735,0.8238959630818614
6,2,Leeds,Everton,2025,5,30,1.2182646403863973,0.8873113953111967
6,2,Norwich,Everton,2025,5,30,1.3305072439345829,1.1191225759001795
6,2,Islington,Everton,2025,5,30,1.0486014131546824,1.3386873441026288
6,2,Newcastle,Everton,2025,5,30,1.7776754747780277,0.46887516362117915
6,2,United,Everton,2025,5,30,1.4151913500378699,0.6629932447306426
6,2,Watford,Everton,2025,5,30,0.2860448380004393,0.39406847504451153
6,2,City,Everton,2025,5,30,1.8804757651507693,0.9791406325863232
6,2,Leicester,Everton,2025,5,30,1.3313343458003892,0.519482393564363
6,2,Chelsea,Everton,2025,5,30,0.24007588700454655,1.3584144603644286
