Id da partida,Campeonato,Data,Tempo,Time da casa,Time contra,Gols time casa,Gols time contra,Gols totais,Odd Over 2.5,Odd Under 2.5,Odd Over 3.5,Odd Under 3.5,Odd Casa Vence,Odd Empate,Odd Visitante Vence,Placar Exato,Odd Placar Exato,Data das odds
1701353,Euro,2025-05-09,15:02,Turquia,Áustria,1,1,2,2.90,2.45,2.90,2.45,2.45,3.30,2.90,1-1,9.00,09-05-2025 11:46
1701357,Euro,2025-05-09,15:05,Escócia,Sérvia,2,0,2,2.80,2.55,2.80,2.55,2.55,3.30,2.80,2-0,8.50,09-05-2025 11:46
1701363,Euro,2025-05-09,15:08,Eslováquia,Dinamarca,3,0,3,2.90,2.45,2.45,2.90,2.90,3.30,2.45,3-0,8.50,09-05-2025 11:46
1701370,Euro,2025-05-09,15:11,Áustria,Espanha,0,1,1,2.55,2.70,2.55,2.70,2.70,3.50,2.55,0-1,7.00,09-05-2025 11:46
1701378,Euro,2025-05-09,15:14,Hungria,Eslováquia,2,1,3,2.25,3.25,3.25,2.25,2.25,3.40,3.25,2-1,8.50,09-05-2025 11:46
1701385,Euro,2025-05-09,15:17,Eslovênia,Itália,0,0,0,2.60,2.87,2.60,2.87,2.87,3.20,2.60,0-0,10.00,09-05-2025 11:46
1701392,Euro,2025-05-09,15:20,Ucrânia,Turquia,0,2,2,2.70,2.62,2.70,2.62,2.62,3.30,2.70,0-2,9.00,09-05-2025 11:46
1701399,Euro,2025-05-09,15:23,Países Baixos,Dinamarca,3,1,4,2.45,2.80,2.45,2.80,2.45,3.50,2.80,3-1,7.50,09-05-2025 11:46
1701406,Euro,2025-05-09,15:26,Albânia,Suíça,2,0,2,2.75,2.62,2.75,2.62,2.62,3.30,2.75,2-0,8.50,09-05-2025 11:46
1701413,Euro,2025-05-09,15:29,Sérvia,Áustria,1,0,1,2.90,2.45,2.90,2.45,2.45,3.30,2.90,1-0,9.00,09-05-2025 11:46
1701420,Euro,2025-05-09,15:32,Eslováquia,Escócia,1,2,3,2.70,2.60,2.60,2.70,2.70,3.40,2.60,1-2,7.50,09-05-2025 11:46
1701427,Euro,2025-05-09,15:35,Ucrânia,Países Baixos,1,1,2,2.55,2.70,2.55,2.70,2.70,3.50,2.55,1-1,7.00,09-05-2025 11:46
1701434,Euro,2025-05-09,15:38,Dinamarca,Albânia,1,3,4,2.30,3.40,2.30,3.40,2.30,3.20,3.40,1-3,10.00,09-05-2025 11:46
1701441,Euro,2025-05-09,15:41,Polônia,Geórgia,1,1,2,3.30,2.25,3.30,2.25,2.25,3.30,3.30,1-1,9.00,09-05-2025 11:46
1701448,Euro,2025-05-09,15:44,Inglaterra,Romênia,2,1,3,2.00,3.60,3.60,2.00,2.00,3.60,3.60,2-1,6.50,09-05-2025 11:46
1701210,Euro,2025-05-09,14:02,França,República Tcheca,0,0,0,3.60,2.07,3.60,2.07,2.07,3.40,3.60,0-0,8.00,09-05-2025 11:46
1701217,Euro,2025-05-09,14:05,Alemanha,Bélgica,1,1,2,3.00,2.30,3.00,2.30,2.30,3.50,3.00,1-1,7.00,09-05-2025 11:46
1701224,Euro,2025-05-09,14:08,Suíça,Eslovênia,1,0,1,3.10,2.35,3.10,2.35,2.35,3.30,3.10,1-0,9.00,09-05-2025 11:46
1701231,Euro,2025-05-09,14:11,Espanha,Dinamarca,3,1,4,2.30,3.00,2.30,3.00,2.30,3.50,3.00,3-1,7.50,09-05-2025 11:46
1701238,Euro,2025-05-09,14:14,Alemanha,Croácia,2,0,2,3.10,2.25,3.10,2.25,2.25,3.50,3.10,2-0,7.00,09-05-2025 11:46
1701245,Euro,2025-05-09,14:17,Turquia,Países Baixos,2,2,4,2.50,2.75,2.50,2.75,2.50,3.40,2.75,2-2,7.50,09-05-2025 11:46
1701252,Euro,2025-05-09,14:20,Polônia,França,0,3,3,3.10,2.30,2.30,3.10,3.10,3.40,2.30,0-3,7.50,09-05-2025 11:46
1701259,Euro,2025-05-09,14:23,Eslováquia,Ucrânia,2,0,2,2.70,2.60,2.70,2.60,2.60,3.40,2.70,2-0,8.00,09-05-2025 11:46
1701266,Euro,2025-05-09,14:26,Alemanha,Suíça,2,2,4,2.20,3.20,2.20,3.20,2.20,3.60,3.20,2-2,7.00,09-05-2025 11:46
1701273,Euro,2025-05-09,14:29,Bélgica,Albânia,1,1,2,3.40,2.20,3.40,2.20,2.20,3.30,3.40,1-1,9.00,09-05-2025 11:46
1701279,Euro,2025-05-09,14:32,República Tcheca,Alemanha,0,1,1,2.45,2.90,2.45,2.90,2.90,3.30,2.45,0-1,8.50,09-05-2025 11:46
1701286,Euro,2025-05-09,14:35,Hungria,Ucrânia,3,1,4,2.37,3.00,2.37,3.00,2.37,3.30,3.00,3-1,8.50,09-05-2025 11:46
1701294,Euro,2025-05-09,14:38,França,Eslovênia,0,0,0,3.80,2.02,3.80,2.02,2.02,3.40,3.80,0-0,8.50,09-05-2025 11:46
