HORA,CAMPEONATO,COLUNA,PROBABILIDADE,OUTCOME
23,Euro,02,0.4166666666666667,1.0
23,Euro,05,0.4444444444444444,1.0
23,Euro,08,0.3333333333333333,0.5
23,Euro,11,0.47619047619047616,1.0
23,Euro,14,0.3846153846153846,0.0
23,Euro,17,0.45454545454545453,1.0
23,Euro,23,0.46511627906976744,0.5
23,Euro,26,0.30303030303030304,0.5
23,Euro,29,0.4166666666666667,0.5
23,Euro,32,0.46511627906976744,0.0
23,Euro,35,0.3076923076923077,0.0
23,Euro,38,0.425531914893617,0.0
23,Euro,41,0.3921568627450981,0.0
23,Euro,44,0.4081632653061224,0.5
23,Euro,47,0.4,0.0
23,Euro,50,0.37037037037037035,0.5
23,Euro,53,0.4347826086956522,1.0
23,Euro,56,0.48780487804878053,1.0
22,Euro,02,0.4,1.0
22,Euro,05,0.4081632653061224,1.0
22,Euro,08,0.3846153846153846,0.5
22,Euro,11,0.4444444444444444,0.0
22,Euro,14,0.38167938931297707,1.0
22,Euro,17,0.4444444444444444,0.5
22,Euro,20,0.49504950495049505,0.0
22,Euro,23,0.3921568627450981,0.0
22,Euro,26,0.3846153846153846,1.0
22,Euro,29,0.3846153846153846,1.0
22,Euro,32,0.37037037037037035,0.0
22,Euro,35,0.38167938931297707,1.0
22,Euro,38,0.4,1.0
22,Euro,41,0.3333333333333333,0.0
22,Euro,44,0.37037037037037035,0.0
22,Euro,47,0.5128205128205129,0.5
22,Euro,50,0.4444444444444444,1.0
22,Euro,53,0.46511627906976744,1.0
22,Euro,56,0.45454545454545453,0.0
22,Euro,59,0.3921568627450981,1.0
21,Euro,02,0.4444444444444444,1.0
21,Euro,05,0.48309178743961356,0.5
21,Euro,08,0.4347826086956522,0.0
21,Euro,11,0.4347826086956522,0.0
21,Euro,14,0.5376344086021505,0.0
21,Euro,17,0.36363636363636365,0.5
21,Euro,20,0.35714285714285715,0.5
21,Euro,23,0.3921568627450981,1.0
21,Euro,26,0.35714285714285715,1.0
21,Euro,29,0.49504950495049505,1.0
21,Euro,32,0.5,0.0
21,Euro,35,0.3921568627450981,1.0
21,Euro,38,0.4166666666666667,0.0
21,Euro,41,0.4444444444444444,0.0
21,Euro,44,0.4081632653061224,0.5
21,Euro,47,0.3333333333333333,0.5
21,Euro,50,0.3448275862068966,0.0
21,Euro,53,0.45454545454545453,1.0
21,Euro,56,0.3125,0.5
21,Euro,59,0.5,1.0
20,Euro,02,0.37037037037037035,1.0
20,Euro,05,0.4444444444444444,1.0
20,Euro,08,0.42194092827004215,0.0
20,Euro,11,0.36363636363636365,1.0
20,Euro,14,0.3846153846153846,0.5
20,Euro,17,0.37037037037037035,0.5
20,Euro,20,0.4081632653061224,0.0
20,Euro,23,0.48309178743961356,0.0
20,Euro,26,0.4,1.0
20,Euro,29,0.4,1.0
20,Euro,32,0.3333333333333333,0.0
20,Euro,35,0.42194092827004215,0.0
20,Euro,41,0.48780487804878053,0.5
20,Euro,44,0.3333333333333333,1.0
20,Euro,50,0.36363636363636365,1.0
20,Euro,53,0.47619047619047616,0.0
