Id da partida,Campeonato,Data,Tempo,Time da casa,Time contra,Gols time casa,Gols time contra,Gols totais,Odd Over 2.5,Odd Under 2.5,Odd Over 3.5,Odd Under 3.5,Odd Casa Vence,Odd Empate,Odd Visitante Vence,Placar Exato,Odd Placar Exato,Data das odds
1730254,Euro,2025-05-18,4:02,República Tcheca,Países Baixos,1,0,1,2.70,2.60,2.70,2.60,2.60,3.40,2.70,1-0,8.00,18-05-2025 00:25
1730262,Euro,2025-05-18,4:05,Eslováquia,Turquia,2,2,4,2.80,2.55,2.80,2.55,2.80,3.30,2.55,2-2,8.50,18-05-2025 00:25
1730269,Euro,2025-05-18,4:08,Eslovênia,Ucrânia,0,2,2,3.00,2.45,3.00,2.45,2.45,3.20,3.00,0-2,10.00,18-05-2025 00:25
1730275,Euro,2025-05-18,4:11,Bélgica,Países Baixos,2,0,2,2.87,2.35,2.87,2.35,2.35,3.60,2.87,2-0,6.50,18-05-2025 00:25
1730282,Euro,2025-05-18,4:14,Ucrânia,Alemanha,0,3,3,3.00,2.35,2.35,3.00,3.00,3.50,2.35,0-3,7.00,18-05-2025 00:25
1730290,Euro,2025-05-18,4:17,Romênia,Escócia,2,0,2,2.75,2.50,2.75,2.50,2.50,3.50,2.75,2-0,7.00,18-05-2025 00:25
1730295,Euro,2025-05-18,4:20,República Tcheca,Bélgica,2,1,3,2.70,2.62,2.62,2.70,2.70,3.30,2.62,2-1,8.50,18-05-2025 00:25
1730304,Euro,2025-05-18,4:23,Portugal,Alemanha,2,2,4,2.55,2.70,2.55,2.70,2.55,3.50,2.70,2-2,7.00,18-05-2025 00:25
1730115,Euro,2025-05-18,3:02,Geórgia,República Tcheca,2,3,5,2.87,2.60,2.87,2.60,2.87,3.20,2.60,2-3,10.00,18-05-2025 00:25
1730121,Euro,2025-05-18,3:05,Suíça,Croácia,1,1,2,2.75,2.50,2.75,2.50,2.50,3.50,2.75,1-1,7.00,18-05-2025 00:25
1730129,Euro,2025-05-18,3:08,Inglaterra,Eslovênia,0,0,0,3.80,2.02,3.80,2.02,2.02,3.40,3.80,0-0,8.50,18-05-2025 00:25
1730136,Euro,2025-05-18,3:11,Geórgia,Suíça,3,0,3,2.87,2.45,2.45,2.87,2.87,3.40,2.45,3-0,7.50,18-05-2025 00:25
1730143,Euro,2025-05-18,3:14,Áustria,França,0,0,0,2.40,2.87,2.40,2.87,2.87,3.50,2.40,0-0,7.00,18-05-2025 00:25
1730150,Euro,2025-05-18,3:17,Eslovênia,Albânia,0,1,1,3.10,2.50,3.10,2.50,2.50,3.00,3.10,0-1,12.00,18-05-2025 00:25
1730157,Euro,2025-05-18,3:20,Geórgia,Países Baixos,3,1,4,3.00,2.35,3.00,2.35,3.00,3.50,2.35,3-1,7.00,18-05-2025 00:25
1730164,Euro,2025-05-18,3:23,Áustria,Ucrânia,1,2,3,2.30,3.10,3.10,2.30,2.30,3.40,3.10,1-2,8.00,18-05-2025 00:25
1730171,Euro,2025-05-18,3:26,Escócia,Portugal,1,1,2,2.50,2.80,2.50,2.80,2.80,3.50,2.50,1-1,7.50,18-05-2025 00:25
1730177,Euro,2025-05-18,3:29,Suíça,Polônia,2,1,3,2.30,3.10,3.10,2.30,2.30,3.40,3.10,2-1,8.00,18-05-2025 00:25
1730186,Euro,2025-05-18,3:32,Geórgia,Hungria,1,1,2,2.55,2.80,2.55,2.80,2.80,3.30,2.55,1-1,8.50,18-05-2025 00:25
1730192,Euro,2025-05-18,3:35,Escócia,Eslováquia,1,0,1,3.20,2.25,3.20,2.25,2.25,3.50,3.20,1-0,7.50,18-05-2025 00:25
1730200,Euro,2025-05-18,3:38,Romênia,Portugal,1,2,3,2.87,2.40,2.40,2.87,2.87,3.50,2.40,1-2,7.00,18-05-2025 00:25
1730205,Euro,2025-05-18,3:41,Hungria,Croácia,2,1,3,2.62,2.70,2.70,2.62,2.62,3.40,2.70,2-1,8.00,18-05-2025 00:25
1730213,Euro,2025-05-18,3:44,Ucrânia,Itália,0,3,3,2.80,2.50,2.50,2.80,2.80,3.40,2.50,0-3,8.00,18-05-2025 00:25
1730220,Euro,2025-05-18,3:47,Áustria,Romênia,3,0,3,2.30,3.10,3.10,2.30,2.30,3.50,3.10,3-0,7.50,18-05-2025 00:25
1730227,Euro,2025-05-18,3:50,Países Baixos,Alemanha,3,2,5,2.70,2.55,2.70,2.55,2.70,3.60,2.55,3-2,6.50,18-05-2025 00:25
1730234,Euro,2025-05-18,3:53,Bélgica,Albânia,2,1,3,2.20,3.40,3.40,2.20,2.20,3.30,3.40,2-1,9.00,18-05-2025 00:25
1730240,Euro,2025-05-18,3:56,Escócia,Países Baixos,1,1,2,2.62,2.60,2.62,2.60,2.60,3.50,2.62,1-1,6.50,18-05-2025 00:25
1730248,Euro,2025-05-18,3:59,Itália,Inglaterra,1,1,2,2.55,2.70,2.55,2.70,2.70,3.50,2.55,1-1,7.00,18-05-2025 00:25
1729976,Euro,2025-05-18,2:02,Ucrânia,França,1,2,3,3.10,2.25,2.25,3.10,3.10,3.50,2.25,1-2,7.00,18-05-2025 00:25
1729982,Euro,2025-05-18,2:05,Inglaterra,Dinamarca,1,0,1,3.25,2.20,3.25,2.20,2.20,3.50,3.25,1-0,7.50,18-05-2025 00:25
1729989,Euro,2025-05-18,2:08,Países Baixos,Itália,0,1,1,2.70,2.55,2.70,2.55,2.55,3.50,2.70,0-1,7.00,18-05-2025 00:25
1729996,Euro,2025-05-18,2:11,Geórgia,Turquia,1,1,2,2.50,2.90,2.50,2.90,2.90,3.25,2.50,1-1,9.00,18-05-2025 00:25
1730003,Euro,2025-05-18,2:14,Romênia,Eslovênia,2,1,3,2.50,2.90,2.90,2.50,2.50,3.30,2.90,2-1,9.00,18-05-2025 00:25
1730009,Euro,2025-05-18,2:17,Espanha,Albânia,0,1,1,3.50,2.15,3.50,2.15,2.15,3.40,3.50,0-1,8.50,18-05-2025 00:25
1730017,Euro,2025-05-18,2:20,Hungria,Dinamarca,0,2,2,2.70,2.62,2.70,2.62,2.62,3.30,2.70,0-2,9.00,18-05-2025 00:25
1730024,Euro,2025-05-18,2:23,Eslovênia,França,3,3,6,3.10,2.30,3.10,2.30,3.10,3.40,2.30,3-3,8.50,18-05-2025 00:25
1730032,Euro,2025-05-18,2:26,Portugal,Dinamarca,1,0,1,3.10,2.35,3.10,2.35,2.35,3.40,3.10,1-0,8.00,18-05-2025 00:25
