Id da partida,Gols time casa,Gols time contra,Gols totais,Odd Over 2.5,Odd Under 2.5,Odd Over 3.5,Odd Under 3.5,Odd Casa Vence,Odd Empate,Odd Visitante Vence
1719598,0,0,0,3.1,2.4,3.1,2.4,2.4,3.25,3.1
1719631,2,0,2,2.75,2.62,2.75,2.62,2.62,3.2,2.75
1719563,1,0,1,3.25,2.25,3.25,2.25,2.25,3.4,3.25
1719594,1,2,3,1.86,4.2,4.2,1.86,1.86,3.6,4.2
1719585,0,2,2,2.62,2.7,2.62,2.7,2.7,3.3,2.62
1719562,1,0,1,3.8,1.95,3.8,1.95,1.95,3.6,3.8
1719544,0,0,0,3.4,2.2,3.4,2.2,2.2,3.3,3.4
1719601,0,2,2,3.2,2.3,3.2,2.3,2.3,3.3,3.2
1719567,0,0,0,3.4,2.2,3.4,2.2,2.2,3.3,3.4
1719677,1,2,3,2.15,3.5,3.5,2.15,2.15,3.4,3.5
1719640,1,0,1,2.62,2.6,2.62,2.6,2.6,3.5,2.62
1719666,2,1,3,2.6,2.7,2.7,2.6,2.6,3.5,2.7
1719599,0,1,1,2.55,2.7,2.55,2.7,2.7,3.6,2.55
1719650,2,2,4,2.25,3.2,2.25,3.2,2.25,3.4,3.2
1719584,0,2,2,3.0,2.4,3.0,2.4,2.4,3.3,3.0
1719560,3,0,3,2.5,2.7,2.7,2.5,2.5,3.6,2.7
