Id da partida,Gols time casa,Gols time contra,Gols totais,Odd Over 2.5,Odd Under 2.5,Odd Over 3.5,Odd Under 3.5,Odd Casa Vence,Odd Empate,Odd Visitante Vence
1719458,3,2,5,2.9,2.35,2.9,2.35,2.9,3.6,2.35
1719352,2,2,4,2.62,2.7,2.62,2.7,2.62,3.3,2.7
1719348,1,0,1,2.55,2.8,2.55,2.8,2.8,3.4,2.55
1719360,2,2,4,2.8,2.4,2.8,2.4,2.8,3.5,2.4
1719986,1,1,2,3.0,2.4,3.0,2.4,2.4,3.3,3.0
1720038,4,2,6,3.5,2.05,3.5,2.05,3.5,3.6,2.05
1719718,1,1,2,2.87,2.6,2.87,2.6,2.6,3.2,2.87
1719523,0,0,0,2.3,3.1,2.3,3.1,3.1,3.5,2.3
1719948,1,3,4,2.45,2.87,2.45,2.87,2.45,3.4,2.87
1719424,0,0,0,3.1,2.3,3.1,2.3,2.3,3.4,3.1
1719570,1,0,1,4.2,1.85,4.2,1.85,1.85,3.6,4.2
1719927,0,1,1,3.3,2.35,3.3,2.35,2.35,3.1,3.3
1719732,3,0,3,2.87,2.6,2.6,2.87,2.87,3.2,2.6
1719790,2,1,3,2.15,3.3,3.3,2.15,2.15,3.5,3.3
1719682,2,1,3,2.15,3.3,3.3,2.15,2.15,3.5,3.3
1719459,2,0,2,3.4,2.15,3.4,2.15,2.15,3.4,3.4
1719988,1,2,3,2.2,3.4,3.4,2.2,2.2,3.3,3.4
1719953,3,2,5,2.4,3.1,2.4,3.1,2.4,3.2,3.1
1719877,1,1,2,2.8,2.5,2.8,2.5,2.5,3.4,2.8
1719519,1,2,3,2.02,3.8,3.8,2.02,2.02,3.4,3.8
1720210,0,3,3,2.2,3.3,3.3,2.2,2.2,3.4,3.3
1719363,1,1,2,3.1,2.3,3.1,2.3,2.3,3.4,3.1
1719501,1,2,3,3.0,2.4,2.4,3.0,3.0,3.3,2.4
1720054,1,1,2,3.4,2.15,3.4,2.15,2.15,3.5,3.4
1719692,4,1,5,2.1,3.5,2.1,3.5,2.1,3.4,3.5
1719875,1,1,2,2.62,2.62,2.62,2.62,2.62,3.5,2.62
1719657,3,1,4,2.1,3.4,2.1,3.4,2.1,3.6,3.4
1720075,3,2,5,2.6,2.62,2.6,2.62,2.6,3.5,2.62
1719389,2,1,3,1.95,3.8,3.8,1.95,1.95,3.6,3.8
