Id da partida,Gols time casa,Gols time contra,Gols totais,Odd Casa Vence,Odd Empate,Odd Visitante Vence,PRED_0,PRED_1,PRED_2,PRED_3,PRED_4,PROBABILIDADE,CONFIDENCE_LEVEL,RECOMMENDED_STAKE,Id da partida.1,Campeonato,Data,Tempo,Time da casa,Time contra,Gols time casa.1,Gols time contra.1,Gols totais.1,Odd Over 2.5,Odd Under 2.5,Odd Over 3.5,Odd Under 3.5,Odd Casa Vence.1,Odd Empate.1,Odd Visitante Vence.1,Placar Exato,Odd Placar Exato,Data das odds,HORA,COLUNA,PROBABILIDADE.1,OUTCOME
1720103,1,2,3,3.1,3.4,2.3,0.002872594586558,3.097295487183924,2.306259003693069,2.304969571705014,3.0982144264560545,0.4466457434287955,baixa,5.0,1720103.0,Euro,2025-05-15,,Geórgia,Itália,1.0,2.0,3.0,3.1,2.3,2.3,3.1,3.1,3.4,2.3,1-2,8.5,,,,0.4466457434287955,0
1720110,3,1,4,2.15,3.5,3.4,1.998301341442807,2.150615954473173,3.395257761177477,2.112706838200988,3.3984466107787115,0.5818215821956236,baixa,5.0,1720110.0,Euro,2025-05-15,,Alemanha,Hungria,3.0,1.0,4.0,2.15,3.4,2.15,3.4,2.15,3.5,3.4,3-1,7.5,,,,0.5818215821956236,2
1720117,1,1,2,2.5,3.0,3.1,0.9981191964975358,3.0998557685534824,2.499704846272317,3.1112452371705195,2.502893354725019,0.5366598778004074,baixa,5.0,1720117.0,Euro,2025-05-15,,Albânia,Eslovênia,1.0,1.0,2.0,3.1,2.5,3.1,2.5,2.5,3.0,3.1,1-1,12.0,,,,0.5366598778004074,1
1720124,0,1,1,2.4,3.3,3.0,0.0021357589736536,2.999071950420488,2.399214834013772,3.0022992823490475,2.4011625676153234,0.5395683453237411,baixa,5.0,1720124.0,Euro,2025-05-15,,Escócia,Polônia,0.0,1.0,1.0,3.0,2.4,3.0,2.4,2.4,3.3,3.0,0-1,8.5,,,,0.5395683453237411,0
1720131,0,0,0,2.62,3.3,2.7,0.9987788943756576,2.7003879031358005,2.621931601095551,2.7182835382201684,2.618102421010485,0.5053593179049939,baixa,5.0,1720131.0,Euro,2025-05-15,,Hungria,Dinamarca,0.0,0.0,0.0,2.7,2.62,2.7,2.62,2.62,3.3,2.7,0-0,9.0,,,,0.5053593179049939,1
1720137,1,3,4,2.7,3.1,2.8,0.0050462798119292,2.6995791688187354,2.7987009150503104,2.673367273562248,2.793761483184222,0.5062982527427874,baixa,5.0,1720137.0,Euro,2025-05-15,,Albânia,Turquia,1.0,3.0,4.0,2.7,2.8,2.7,2.8,2.7,3.1,2.8,1-3,11.0,,,,0.5062982527427874,0
1720144,1,0,1,2.5,3.4,2.75,1.999640924911644,2.748401712031383,2.499573444944526,2.7247641669095803,2.50238535932533,0.5171890798786655,baixa,5.0,1720144.0,Euro,2025-05-15,,Hungria,Suíça,1.0,0.0,1.0,2.75,2.5,2.75,2.5,2.5,3.4,2.75,1-0,7.5,,,,0.5171890798786655,2
1720152,0,0,0,2.7,3.5,2.55,0.9987788943756576,2.5464922399628125,2.6972836773592657,2.5336324986978447,2.70278207840023,0.4896080760095012,baixa,5.0,1720152.0,Euro,2025-05-15,,Croácia,Alemanha,0.0,0.0,0.0,2.55,2.7,2.55,2.7,2.7,3.5,2.55,0-0,7.0,,,,0.4896080760095012,1
1720159,1,2,3,2.35,3.1,3.25,0.0027557875139473,2.348333513778994,3.2448661977906785,3.2576174617799984,2.349473247331432,0.5558055805580557,baixa,5.0,1720159.0,Euro,2025-05-15,,Turquia,Albânia,1.0,2.0,3.0,2.35,3.25,3.25,2.35,2.35,3.1,3.25,1-2,11.0,,,,0.5558055805580557,0
1720166,2,1,3,2.7,3.5,2.55,1.9984688707927885,2.699723471848098,2.5534216248135446,2.532733215645033,2.70278207840023,0.4896080760095012,baixa,5.0,1720166.0,Euro,2025-05-15,,Áustria,Espanha,2.0,1.0,3.0,2.7,2.55,2.55,2.7,2.7,3.5,2.55,2-1,7.0,,,,0.4896080760095012,2
1720173,0,1,1,2.62,3.3,2.7,0.0021357589736536,2.7000453940745786,2.621931601095551,2.714467739174204,2.618102421010485,0.5053593179049939,baixa,5.0,1720173.0,Euro,2025-05-15,,Sérvia,Itália,0.0,1.0,1.0,2.7,2.62,2.7,2.62,2.62,3.3,2.7,0-1,9.0,,,,0.5053593179049939,0
1720180,1,1,2,2.62,3.4,2.7,0.9982360035701464,2.699527153413941,2.621784933390168,2.714329032077645,2.618102421010485,0.505404975757094,baixa,5.0,1720180.0,Euro,2025-05-15,,Dinamarca,Portugal,1.0,1.0,2.0,2.7,2.62,2.7,2.62,2.62,3.4,2.7,1-1,8.0,,,,0.505404975757094,1
1720187,0,0,0,2.62,3.4,2.7,0.9987788943756576,2.699606025282699,2.621931601095551,2.714467739174204,2.618102421010485,0.505404975757094,baixa,5.0,1720187.0,Euro,2025-05-15,,Ucrânia,Áustria,0.0,0.0,0.0,2.7,2.62,2.7,2.62,2.62,3.4,2.7,0-0,8.0,,,,0.505404975757094,1
1720194,0,0,0,2.6,3.5,2.62,0.9987788943756576,2.619258496758934,2.594126421728187,2.6023891663394934,2.596774783804196,0.5013954230125189,baixa,5.0,1720194.0,Euro,2025-05-15,,Romênia,Suíça,0.0,0.0,0.0,2.62,2.6,2.62,2.6,2.6,3.5,2.62,0-0,6.5,,,,0.5013954230125189,1
1720201,1,0,1,2.7,3.3,2.62,1.999640924911644,2.6196654228725844,2.69761081305614,2.6118761445797194,2.70278207840023,0.49464068209500606,baixa,5.0,1720201.0,Euro,2025-05-15,,Ucrânia,Dinamarca,1.0,0.0,1.0,2.62,2.7,2.62,2.7,2.7,3.3,2.62,1-0,8.5,,,,0.494640682095006,2
1720208,0,2,2,2.7,3.2,2.75,0.0030515442587959,2.748565291417672,2.697059151648324,2.730846962055133,2.704156062563595,0.5032173738186205,baixa,5.0,1720208.0,Euro,2025-05-15,,Eslováquia,Albânia,0.0,2.0,2.0,2.75,2.7,2.75,2.7,2.7,3.2,2.75,0-2,10.0,,,,0.5032173738186205,0
1720215,0,0,0,2.7,3.4,2.6,0.9987788943756576,2.604760696972745,2.69761081305614,2.6082449499951688,2.70278207840023,0.49321086261980834,baixa,5.0,1720215.0,Euro,2025-05-15,,Ucrânia,Croácia,0.0,0.0,0.0,2.6,2.7,2.6,2.7,2.7,3.4,2.6,0-0,7.5,,,,0.4932108626198083,1
1720222,2,1,3,2.7,3.3,2.62,1.9984688707927885,2.7004396132994395,2.620751439605833,2.6111580391503413,2.70278207840023,0.49464068209500606,baixa,5.0,1720222.0,Euro,2025-05-15,,Albânia,Países Baixos,2.0,1.0,3.0,2.7,2.62,2.62,2.7,2.7,3.3,2.62,2-1,8.5,,,,0.494640682095006,2
1719963,1,1,2,2.15,3.3,3.6,0.9982360035701464,3.6022398113696665,2.154677998112166,3.5984873737907312,2.150950234930075,0.5895564289724874,baixa,5.0,1719963.0,Euro,2025-05-15,,Portugal,Eslovênia,1.0,1.0,2.0,3.6,2.15,3.6,2.15,2.15,3.3,3.6,1-1,9.0,,,,0.5895564289724874,1
1719970,0,2,2,2.37,3.4,3.0,0.0031566706241456,2.9984762120678874,2.37191323296178,2.9981087538287343,2.371081538470831,0.5422185430463576,baixa,5.0,1719970.0,Euro,2025-05-15,,Escócia,Ucrânia,0.0,2.0,2.0,3.0,2.37,3.0,2.37,2.37,3.4,3.0,0-2,7.5,,,,0.5422185430463576,0
1719977,0,4,4,2.35,3.4,3.1,-0.0097176675071428,2.3485733338815558,3.096488054403044,2.3333603854274703,3.1000875046088763,0.5493898895990703,baixa,5.0,1719977.0,Euro,2025-05-15,,Bélgica,Turquia,0.0,4.0,4.0,2.35,3.1,2.35,3.1,2.35,3.4,3.1,0-4,8.0,,,,0.5493898895990703,0
1719984,1,2,3,3.0,3.5,2.35,0.002872594586558,2.9980207818504123,2.3497106076711365,2.3336627948617448,2.9981497293435746,0.4558680892337536,baixa,5.0,1719984.0,Euro,2025-05-15,,Geórgia,Países Baixos,1.0,2.0,3.0,3.0,2.35,2.35,3.0,3.0,3.5,2.35,1-2,7.0,,,,0.4558680892337536,0
1719990,0,1,1,3.0,3.5,2.35,0.0021357589736536,2.3507362124388185,2.9974888582819914,2.336065465444144,2.9981497293435746,0.4558680892337536,baixa,5.0,1719990.0,Euro,2025-05-15,,Hungria,França,0.0,1.0,1.0,2.35,3.0,2.35,3.0,3.0,3.5,2.35,0-1,7.0,,,,0.4558680892337536,0
1719998,1,0,1,2.4,3.4,3.0,1.999640924911644,2.9985550839366457,2.3997650470037173,3.00062852472502,2.400706674466309,0.5399061032863849,baixa,5.0,1719998.0,Euro,2025-05-15,,Países Baixos,Sérvia,1.0,0.0,1.0,3.0,2.4,3.0,2.4,2.4,3.4,3.0,1-0,7.5,,,,0.5399061032863849,2
1720005,0,3,3,2.35,3.1,3.25,-0.0073343246736555,2.348427657639203,3.245416410780624,3.2673750794440286,2.351323834530717,0.5558055805580557,baixa,5.0,1720005.0,Euro,2025-05-15,,Turquia,Eslovênia,0.0,3.0,3.0,2.35,3.25,3.25,2.35,2.35,3.1,3.25,0-3,11.0,,,,0.5558055805580557,0
1720012,1,2,3,2.9,3.4,2.45,0.002872594586558,2.8981005892368232,2.4537797399066643,2.446069977337764,2.900474828148575,0.4697568689464321,baixa,5.0,1720012.0,Euro,2025-05-15,,Sérvia,Inglaterra,1.0,2.0,3.0,2.9,2.45,2.45,2.9,2.9,3.4,2.45,1-2,7.5,,,,0.4697568689464321,0
1720019,2,1,3,2.75,3.5,2.45,1.9984688707927885,2.748660413816323,2.4574841263594744,2.43686951523519,2.747952084746462,0.4789473684210527,baixa,5.0,1720019.0,Euro,2025-05-15,,Suíça,Alemanha,2.0,1.0,3.0,2.75,2.45,2.45,2.75,2.75,3.5,2.45,2-1,6.5,,,,0.4789473684210527,2
1720026,1,0,1,2.9,3.3,2.45,1.999640924911644,2.4516429993167472,2.8990857924917623,2.446793805849529,2.900474828148575,0.47001211631663975,baixa,5.0,1720026.0,Euro,2025-05-15,,Eslovênia,Espanha,1.0,0.0,1.0,2.45,2.9,2.45,2.9,2.9,3.3,2.45,1-0,8.5,,,,0.4700121163166397,2
1720033,2,0,2,2.25,3.4,3.25,2.000838448224392,3.247117901179468,2.253651522566243,3.263152201291342,2.2501982369027247,0.5653531955790485,baixa,5.0,1720033.0,Euro,2025-05-15,,Portugal,Turquia,2.0,0.0,2.0,3.25,2.25,3.25,2.25,2.25,3.4,3.25,2-0,8.5,,,,0.5653531955790485,2
1720040,1,2,3,2.7,3.4,2.6,0.002872594586558,2.7003104035993664,2.6023028471148906,2.605955933343209,2.701900164165292,0.49321086261980834,baixa,5.0,1720040.0,Euro,2025-05-15,,Geórgia,Romênia,1.0,2.0,3.0,2.7,2.6,2.6,2.7,2.7,3.4,2.6,1-2,7.5,,,,0.4932108626198083,0
1720045,0,2,2,2.25,3.5,3.2,0.0031566706241456,3.197631068357334,2.253087133563292,3.142483277134757,2.2501982369027247,0.5632730732635584,baixa,5.0,1720045.0,Euro,2025-05-15,,Escócia,Eslováquia,0.0,2.0,2.0,3.2,2.25,3.2,2.25,2.25,3.5,3.2,0-2,7.5,,,,0.5632730732635584,0
1720054,1,1,2,2.15,3.5,3.4,0.9982360035701464,3.3967276230533665,2.154922193375312,3.4063991383367163,2.150950234930075,0.5818215821956236,baixa,5.0,1720054.0,Euro,2025-05-15,,Espanha,Polônia,1.0,1.0,2.0,3.4,2.15,3.4,2.15,2.15,3.5,3.4,1-1,7.5,,,,0.5818215821956236,1
1720061,0,2,2,2.8,3.4,2.5,0.0031566706241456,2.5010829714183638,2.793989684043684,2.508499682737638,2.8028939503161663,0.4796163069544364,baixa,5.0,1720061.0,Euro,2025-05-15,,Hungria,Portugal,0.0,2.0,2.0,2.5,2.8,2.5,2.8,2.8,3.4,2.5,0-2,8.0,,,,0.4796163069544364,0
1720068,1,2,3,2.7,3.2,2.75,0.0027557875139473,2.6995791688187354,2.750651401600169,2.724832745324412,2.703700169414581,0.5032173738186205,baixa,5.0,1720068.0,Euro,2025-05-15,,Polônia,Sérvia,1.0,2.0,3.0,2.7,2.75,2.75,2.7,2.7,3.2,2.75,1-2,10.0,,,,0.5032173738186205,0
1720075,3,2,5,2.6,3.5,2.62,1.9949580757080572,2.6007016760422306,2.6224225040909177,2.634096772810696,2.628740932684729,0.5013954230125189,baixa,5.0,1720075.0,Euro,2025-05-15,,Portugal,França,3.0,2.0,5.0,2.6,2.62,2.6,2.62,2.6,3.5,2.62,3-2,6.5,,,,0.5013954230125189,2
1720082,1,1,2,2.25,3.4,3.25,0.9982360035701464,3.2469129107083043,2.253414269260166,3.263015297869769,2.2501982369027247,0.5653531955790485,baixa,5.0,1720082.0,Euro,2025-05-15,,Hungria,Eslováquia,1.0,1.0,2.0,3.25,2.25,3.25,2.25,2.25,3.4,3.25,1-1,8.5,,,,0.5653531955790485,1
1720089,2,2,4,2.8,3.4,2.5,0.9987862317922328,2.798877027627336,2.504828986233413,2.798277197115175,2.479295782462881,0.4796163069544364,baixa,5.0,1720089.0,Euro,2025-05-15,,Ucrânia,Itália,2.0,2.0,4.0,2.8,2.5,2.8,2.5,2.8,3.4,2.5,2-2,8.0,,,,0.4796163069544364,1
1720096,1,0,1,2.4,3.2,3.1,1.9996354097182083,3.0999346404222408,2.399214834013772,3.106295275549764,2.4016705630150126,0.5447284345047924,baixa,5.0,1720096.0,Euro,2025-05-15,,Turquia,República Tcheca,1.0,0.0,1.0,3.1,2.4,3.1,2.4,2.4,3.2,3.1,1-0,10.0,,,,0.5447284345047924,2
