Id da partida,Gols time casa,Gols time contra,Gols totais,Odd Casa Vence,Odd Empate,Odd Visitante Vence
1719960,4,0,4,2.15,3.6,3.25
1719865,2,0,2,1.95,3.6,3.8
1719312,0,1,1,2.35,3.3,3.1
1719641,2,1,3,2.25,3.3,3.3
1719809,1,0,1,2.75,3.2,2.7
1719627,0,1,1,2.1,3.6,3.3
1719894,2,0,2,2.75,3.25,2.62
1719418,1,0,1,2.35,3.4,3.1
1719652,1,1,2,2.75,3.2,2.7
1719329,1,2,3,2.7,3.2,2.75
1720023,0,2,2,2.0,3.6,3.6
1719406,0,0,0,2.4,3.25,3.1
1720189,1,2,3,3.25,3.4,2.25
1719413,0,0,0,2.25,3.6,3.1
1719905,3,0,3,2.25,3.3,3.3
1720196,1,0,1,2.35,3.5,2.9
1719794,0,3,3,2.5,3.3,2.8
1720205,2,0,2,2.05,3.5,3.6
1719855,2,2,4,2.0,3.5,3.75
1719403,0,0,0,2.55,3.2,2.9
1719848,1,1,2,2.55,3.6,2.62
1719581,0,0,0,2.7,3.3,2.62
1719577,1,0,1,2.4,3.2,3.1
1719454,0,0,0,2.8,3.4,2.5
1719435,2,2,4,2.2,3.25,3.5
1719472,2,0,2,2.2,3.6,3.1
1719465,4,1,5,1.72,3.8,4.75
1720110,3,1,4,2.15,3.5,3.4
1720129,2,1,3,3.0,3.5,2.3
1719895,2,2,4,2.2,3.5,3.2
1719607,1,2,3,2.8,3.4,2.5
1719285,1,2,3,3.8,3.75,1.93
1719326,4,2,6,3.4,3.5,2.1
1719771,2,0,2,2.9,3.25,2.5
1719750,2,1,3,2.87,3.5,2.4
1719571,1,0,1,2.6,3.2,2.87
1720191,2,4,6,2.87,3.2,2.6
1719975,1,1,2,2.45,3.5,2.8
1719904,2,1,3,2.6,3.5,2.62
1719584,0,2,2,2.4,3.3,3.0
1719899,1,1,2,2.07,3.4,3.75
1720003,0,0,0,3.2,3.5,2.2
1719598,0,0,0,2.4,3.25,3.1
1719946,2,0,2,2.8,3.3,2.55
1719679,2,1,3,2.6,3.5,2.7
1720166,2,1,3,2.7,3.5,2.55
1720203,0,0,0,2.25,3.6,3.0
1719517,1,1,2,2.7,3.3,2.62
1719560,3,0,3,2.5,3.6,2.7
1719601,0,2,2,2.3,3.3,3.2
1719468,2,1,3,2.87,3.4,2.45
1720137,1,3,4,2.7,3.1,2.8
1719289,0,3,3,2.1,3.6,3.4
1719949,2,2,4,2.75,3.25,2.62
1719879,1,1,2,2.15,3.5,3.4
1719455,1,0,1,2.3,3.6,3.0
1720009,0,1,1,1.9,3.6,4.0
1719385,0,1,1,3.1,3.4,2.3
1719911,0,2,2,2.2,3.4,3.3
1719863,1,0,1,3.1,3.4,2.3
1719277,1,2,3,2.25,3.4,3.25
1719617,0,2,2,3.1,3.4,2.3
1719812,0,2,2,3.3,3.5,2.15
1720021,1,0,1,2.75,3.25,2.62
1719336,0,0,0,2.87,3.2,2.6
1719459,2,0,2,2.15,3.4,3.4
1719490,0,1,1,2.0,3.6,3.6
1719478,2,2,4,3.6,3.75,1.98
1720143,3,1,4,2.1,3.5,3.5
1719589,2,2,4,1.95,3.6,3.8
1719774,0,3,3,2.7,3.4,2.6
1719341,3,0,3,2.3,3.5,3.0
1719762,0,1,1,2.62,3.2,2.75
1719988,1,2,3,2.2,3.3,3.4
1720063,3,2,5,2.6,3.5,2.62
1719322,1,3,4,2.45,3.4,2.9
1720126,0,0,0,2.3,3.6,3.0
1719952,2,1,3,1.83,3.75,4.33
1720038,4,2,6,3.5,3.6,2.05
1719623,1,2,3,2.75,3.2,2.7
1720044,0,1,1,2.1,3.5,3.5
1720107,1,0,1,1.98,3.5,4.0
1719375,3,0,3,2.37,3.25,3.1
1719494,2,2,4,2.3,3.5,3.0
1719920,1,0,1,1.95,3.5,4.0
1719300,2,1,3,2.25,3.4,3.2
1719304,2,1,3,1.95,3.6,3.8
1719427,1,0,1,2.15,3.5,3.4
1719732,3,0,3,2.87,3.2,2.6
1719511,1,2,3,2.45,3.5,2.87
1719666,2,1,3,2.6,3.5,2.7
1719692,4,1,5,2.1,3.4,3.5
1719346,1,1,2,2.37,3.5,2.9
1720119,1,1,2,3.1,3.5,2.3
1719570,1,0,1,1.85,3.6,4.2
1719327,4,0,4,2.75,3.5,2.45
1719554,3,2,5,2.55,3.25,2.87
1719422,0,3,3,2.7,3.5,2.55
1719333,2,1,3,2.8,3.3,2.55
1720040,1,2,3,2.7,3.4,2.6
1719609,2,0,2,2.7,3.4,2.6
1720061,0,2,2,2.8,3.4,2.5
1719415,0,3,3,2.07,3.4,3.75
1719610,2,2,4,2.9,3.3,2.45
1720072,2,4,6,3.0,3.3,2.4
1719834,1,2,3,2.5,3.5,2.75
1719523,0,0,0,3.1,3.5,2.3
1719996,3,1,4,2.3,3.5,3.1
1719877,1,1,2,2.5,3.4,2.8
1719392,0,0,0,2.3,3.6,3.0
