Id da partida,Gols time casa,Gols time contra,Gols totais,Odd Casa Vence,Odd Empate,Odd Visitante Vence,PRED_0,PRED_1,PRED_2,PRED_3,PRED_4,PROBABILIDADE,CONFIDENCE_LEVEL,RECOMMENDED_STAKE,Id da partida.1,Campeonato,Data,Tempo,Time da casa,Time contra,Gols time casa.1,Gols time contra.1,Gols totais.1,Odd Over 2.5,Odd Under 2.5,Odd Over 3.5,Odd Under 3.5,Odd Casa Vence.1,Odd Empate.1,Odd Visitante Vence.1,Placar Exato,Odd Placar Exato,Data das odds,HORA,COLUNA,PROBABILIDADE.1,OUTCOME
1719544,0,0,0,2.2,3.3,3.4,0.9988940248193192,3.396992963807508,2.202413813635502,3.4018771753606813,2.203041723610814,0.576271186440678,baixa,5.0,1719544.0,Euro,2025-05-15,,Bélgica,Albânia,0.0,0.0,0.0,3.4,2.2,3.4,2.2,2.2,3.3,3.4,0-0,9.0,,,,0.576271186440678,1
1719551,0,2,2,2.9,3.3,2.45,0.0030213050090978,2.450542001198473,2.8958266948303497,2.4484627470526505,2.902263289346582,0.47001211631663975,baixa,5.0,1719551.0,Euro,2025-05-15,,Polônia,Portugal,0.0,2.0,2.0,2.45,2.9,2.45,2.9,2.9,3.3,2.45,0-2,8.5,,,,0.4700121163166397,0
1719565,1,3,4,2.3,3.5,3.0,0.0051130871586973,2.3006564568226944,2.998942884168107,2.3037688223089043,3.0024631419757943,0.5481335952848724,baixa,5.0,1719565.0,Euro,2025-05-15,,França,Portugal,1.0,3.0,4.0,2.3,3.0,2.3,3.0,2.3,3.5,3.0,1-3,7.0,,,,0.5481335952848724,0
1719571,1,0,1,2.6,3.2,2.87,1.999880294265702,2.870225887926286,2.5993422764515333,2.888416363367673,2.583774970736666,0.5173035328046143,baixa,5.0,1719571.0,Euro,2025-05-15,,República Tcheca,Sérvia,1.0,0.0,1.0,2.87,2.6,2.87,2.6,2.6,3.2,2.87,1-0,10.0,,,,0.5173035328046143,2
1719577,1,0,1,2.4,3.2,3.1,1.999880294265702,3.1011279818934128,2.400575908834387,3.103381477626897,2.40052020499299,0.5447284345047924,baixa,5.0,1719577.0,Euro,2025-05-15,,Hungria,Albânia,1.0,0.0,1.0,3.1,2.4,3.1,2.4,2.4,3.2,3.1,1-0,10.0,,,,0.5447284345047924,2
1719584,0,2,2,2.4,3.3,3.0,0.0030213050090978,2.9990394759076024,2.401047020565599,3.0009266747176424,2.398838795965479,0.5395683453237411,baixa,5.0,1719584.0,Euro,2025-05-15,,Suíça,República Tcheca,0.0,2.0,2.0,3.0,2.4,3.0,2.4,2.4,3.3,3.0,0-2,8.5,,,,0.5395683453237411,0
1719592,0,3,3,3.1,3.4,2.3,-0.0094609375948874,3.097011466556486,2.3050081433580787,2.2985378086952712,3.0972574120347383,0.4466457434287955,baixa,5.0,1719592.0,Euro,2025-05-15,,Eslovênia,França,0.0,3.0,3.0,3.1,2.3,2.3,3.1,3.1,3.4,2.3,0-3,8.5,,,,0.4466457434287955,0
1719599,0,1,1,2.7,3.6,2.55,0.0025496609568057,2.5506657069856877,2.6990756494161543,2.5289988503763023,2.70547982048407,0.4895287958115183,baixa,5.0,1719599.0,Euro,2025-05-15,,Suíça,Espanha,0.0,1.0,1.0,2.55,2.7,2.55,2.7,2.7,3.6,2.55,0-1,6.5,,,,0.4895287958115183,0
1719605,1,1,2,2.5,3.3,2.9,0.996680870393188,2.899580691751648,2.499937891341359,2.897315285259754,2.502167462135927,0.5263262863980853,baixa,5.0,1719605.0,Euro,2025-05-15,,Romênia,Albânia,1.0,1.0,2.0,2.9,2.5,2.9,2.5,2.5,3.3,2.9,1-1,9.0,,,,0.5263262863980853,1
1719612,0,1,1,2.4,3.3,3.0,0.0025496609568057,2.999063402734184,2.400575908834387,3.0009266747176424,2.398838795965479,0.5395683453237411,baixa,5.0,1719612.0,Euro,2025-05-15,,Croácia,Turquia,0.0,1.0,1.0,3.0,2.4,3.0,2.4,2.4,3.3,3.0,0-1,8.5,,,,0.5395683453237411,0
1719620,1,1,2,2.45,3.5,2.8,0.996680870393188,2.8000395811135474,2.4497304117849024,2.795423669884365,2.467352886687679,0.5242718446601942,baixa,5.0,1719620.0,Euro,2025-05-15,,Itália,Bélgica,1.0,1.0,2.0,2.8,2.45,2.8,2.45,2.45,3.5,2.8,1-1,7.5,,,,0.5242718446601942,1
1719627,0,1,1,2.1,3.6,3.3,0.0025496609568057,3.298938797359139,2.1026180279641022,3.303865583656055,2.1013516019506997,0.5819112627986349,baixa,5.0,1719627.0,Euro,2025-05-15,,Inglaterra,Suíça,0.0,1.0,1.0,3.3,2.1,3.3,2.1,2.1,3.6,3.3,0-1,6.5,,,,0.5819112627986349,0
1719634,2,2,4,2.62,3.6,2.55,0.9980064614425204,2.62105281160681,2.551506732642219,2.70103324207478,2.599664383990909,0.49501838453326996,baixa,5.0,1719634.0,Euro,2025-05-15,,Romênia,Países Baixos,2.0,2.0,4.0,2.62,2.55,2.62,2.55,2.62,3.6,2.55,2-2,6.5,,,,0.4950183845332699,1
1719641,2,1,3,2.25,3.3,3.3,1.9983126909309497,2.2521358565176324,3.297169168425217,3.302805556175851,2.2505525795664023,0.5673076923076923,baixa,5.0,1719641.0,Euro,2025-05-15,,Polônia,Geórgia,2.0,1.0,3.0,2.25,3.3,3.3,2.25,2.25,3.3,3.3,2-1,9.0,,,,0.5673076923076923,2
1719646,2,2,4,2.37,3.4,3.0,0.9980064614425204,2.3706717382412155,2.999392089881071,2.3764023541428325,2.999814656152374,0.5422185430463576,baixa,5.0,1719646.0,Euro,2025-05-15,,República Tcheca,Romênia,2.0,2.0,4.0,2.37,3.0,2.37,3.0,2.37,3.4,3.0,2-2,8.5,,,,0.5422185430463576,1
1719655,2,3,5,2.3,3.5,3.0,0.0175661243197596,2.3006564568226944,2.999135115269713,2.299264233065316,3.002807415407125,0.5481335952848724,baixa,5.0,1719655.0,Euro,2025-05-15,,Bélgica,Áustria,2.0,3.0,5.0,2.3,3.0,2.3,3.0,2.3,3.5,3.0,2-3,7.5,,,,0.5481335952848724,0
1719662,1,1,2,2.4,3.2,3.1,0.996680870393188,3.1011040550668314,2.401047020565599,3.103593150317976,2.403165542117767,0.5447284345047924,baixa,5.0,1719662.0,Euro,2025-05-15,,República Tcheca,Polônia,1.0,1.0,2.0,3.1,2.4,3.1,2.4,2.4,3.2,3.1,1-1,10.0,,,,0.5447284345047924,1
1719669,1,1,2,2.9,3.3,2.45,0.996680870393188,2.450542001198473,2.8958266948303497,2.4486744197437296,2.9054085987729272,0.47001211631663975,baixa,5.0,1719669.0,Euro,2025-05-15,,Eslováquia,Dinamarca,1.0,1.0,2.0,2.45,2.9,2.45,2.9,2.9,3.3,2.45,1-1,8.5,,,,0.4700121163166397,1
1719675,1,1,2,2.02,3.6,3.6,0.996680870393188,3.6025721419100165,2.0231856535391346,3.601929032410623,2.024554823053367,0.6034031413612565,média,10.0,1719675.0,Euro,2025-05-15,,Inglaterra,Ucrânia,1.0,1.0,2.0,3.6,2.02,3.6,2.02,2.02,3.6,3.6,1-1,7.0,,,,0.6034031413612565,1
1719541,1,2,3,2.2,3.25,3.5,0.0043492981766017,2.2002328023577657,3.4927079087896704,3.497342393827611,2.203404909179364,0.5805529075309818,baixa,5.0,1719541.0,Copa,2025-05-15,,EUA,Coreia do Sul,1.0,2.0,3.0,2.2,3.5,3.5,2.2,2.2,3.25,3.5,1-2,10.0,,,,0.5805529075309818,0
1719548,1,2,3,2.07,3.5,3.5,0.0043492981766017,2.080474409378809,3.4941680178630365,3.501149848245578,2.0712841166427824,0.5935863874345549,baixa,5.0,1719548.0,Copa,2025-05-15,,França,México,1.0,2.0,3.0,2.07,3.5,3.5,2.07,2.07,3.5,3.5,1-2,7.5,,,,0.5935863874345549,0
1719556,2,0,2,2.15,3.5,3.3,2.0002618051850933,3.2984417442209395,2.152635503495016,3.305119193670835,2.1476573062997515,0.576901031715705,baixa,5.0,1719556.0,Copa,2025-05-15,,Países Baixos,Equador,2.0,0.0,2.0,3.3,2.15,3.3,2.15,2.15,3.5,3.3,2-0,7.5,,,,0.576901031715705,2
1719562,1,0,1,1.95,3.6,3.8,1.999880294265702,3.797618208641055,1.95596131197239,3.7986920878921016,1.955844267284858,0.6184631803628603,média,10.0,1719562.0,Copa,2025-05-15,,Alemanha,Coreia do Sul,1.0,0.0,1.0,3.8,1.95,3.8,1.95,1.95,3.6,3.8,1-0,7.5,,,,0.6184631803628603,2
1719570,1,0,1,1.85,3.6,4.2,1.999880294265702,4.198456126706821,1.85433877065253,4.194497835011602,1.870415302690012,0.6431472081218275,média,10.0,1719570.0,Copa,2025-05-15,,Bélgica,Irã,1.0,0.0,1.0,4.2,1.85,4.2,1.85,1.85,3.6,4.2,1-0,7.5,,,,0.6431472081218275,2
1719578,0,0,0,2.37,3.5,2.9,0.9988940248193192,2.899355871252069,2.370091994730697,2.890064759825508,2.3699385879547186,0.5366340153250652,baixa,5.0,1719578.0,Copa,2025-05-15,,Alemanha,Países Baixos,0.0,0.0,0.0,2.9,2.37,2.9,2.37,2.37,3.5,2.9,0-0,7.0,,,,0.5366340153250652,1
1719582,2,1,3,2.55,3.25,2.87,1.9983126909309497,2.552158650886882,2.8707820584156343,2.8838896451295657,2.547290967280518,0.520855475565003,baixa,5.0,1719582.0,Copa,2025-05-15,,México,Senegal,2.0,1.0,3.0,2.55,2.87,2.87,2.55,2.55,3.25,2.87,2-1,9.0,,,,0.520855475565003,2
1719589,2,2,4,1.95,3.6,3.8,0.9980064614425204,1.951797964999764,3.791753863550272,1.948474083599427,3.7841082724649415,0.6184631803628603,média,10.0,1719589.0,Copa,2025-05-15,,Bélgica,Camarões,2.0,2.0,4.0,1.95,3.8,1.95,3.8,1.95,3.6,3.8,2-2,7.5,,,,0.6184631803628603,1
1719598,0,0,0,2.4,3.25,3.1,0.9988940248193192,3.100620783974124,2.400575908834387,3.102377459218086,2.399201981534029,0.5449338336954375,baixa,5.0,1719598.0,Copa,2025-05-15,,Uruguai,EUA,0.0,0.0,0.0,3.1,2.4,3.1,2.4,2.4,3.25,3.1,0-0,9.0,,,,0.5449338336954375,1
1719607,1,2,3,2.8,3.4,2.5,0.0043492981766017,2.798389409406496,2.502748431727187,2.5073878992438248,2.801468684734989,0.4796163069544364,baixa,5.0,1719607.0,Copa,2025-05-15,,Polônia,Bélgica,1.0,2.0,3.0,2.8,2.5,2.5,2.8,2.8,3.4,2.5,1-2,8.0,,,,0.4796163069544364,0
1719610,2,2,4,2.9,3.3,2.45,0.9980064614425204,2.898190148620011,2.4534214070133378,2.8843098732408143,2.420047829482981,0.47001211631663975,baixa,5.0,1719610.0,Copa,2025-05-15,,Sérvia,Espanha,2.0,2.0,4.0,2.9,2.45,2.9,2.45,2.9,3.3,2.45,2-2,8.5,,,,0.4700121163166397,1
1719618,0,1,1,2.45,3.4,2.9,0.0025496609568057,2.8996046185782296,2.449855721914897,2.893660104461176,2.4678593209089588,0.5302431310535678,baixa,5.0,1719618.0,Copa,2025-05-15,,Croácia,Dinamarca,0.0,1.0,1.0,2.9,2.45,2.9,2.45,2.45,3.4,2.9,0-1,8.0,,,,0.5302431310535678,0
1719623,1,2,3,2.75,3.2,2.7,0.0043492981766017,2.749531299668707,2.701411386845268,2.723631767710533,2.753536722846851,0.49678262618137947,baixa,5.0,1719623.0,Copa,2025-05-15,,País de Gales,EUA,1.0,2.0,3.0,2.75,2.7,2.7,2.75,2.75,3.2,2.7,1-2,10.0,,,,0.4967826261813794,0
1719630,3,1,4,1.85,3.6,4.2,1.998799652104864,1.8524401477931964,4.193751566994536,1.8612295222723128,4.132050369083868,0.6431472081218275,média,10.0,1719630.0,Copa,2025-05-15,,Inglaterra,Canadá,3.0,1.0,4.0,1.85,4.2,1.85,4.2,1.85,3.6,4.2,3-1,7.5,,,,0.6431472081218275,2
1719640,1,0,1,2.6,3.5,2.62,1.999880294265702,2.618549454557126,2.5993679297338863,2.604202359796964,2.5808897275855,0.5013954230125189,baixa,5.0,1719640.0,Copa,2025-05-15,,Dinamarca,Alemanha,1.0,0.0,1.0,2.62,2.6,2.62,2.6,2.6,3.5,2.62,1-0,6.5,,,,0.5013954230125189,2
1719649,0,3,3,2.87,3.4,2.45,-0.0094609375948874,2.8683877458870968,2.453516571485736,2.4448075662540725,2.8747523440513727,0.47157586735404766,baixa,5.0,1719649.0,Copa,2025-05-15,,Costa Rica,Polônia,0.0,3.0,3.0,2.87,2.45,2.45,2.87,2.87,3.4,2.45,0-3,7.5,,,,0.4715758673540476,0
1719653,2,4,6,2.62,3.3,2.75,-0.0067561389765484,2.618281253713383,2.749355007592468,2.6353465106412,2.759735048449792,0.5086054721977052,baixa,5.0,1719653.0,Copa,2025-05-15,,Senegal,Países Baixos,2.0,4.0,6.0,2.62,2.75,2.62,2.75,2.62,3.3,2.75,2-4,8.5,,,,0.5086054721977052,0
1719661,2,2,4,2.87,3.2,2.6,0.9980064614425204,2.869134156944092,2.602504255701229,2.757217509650762,2.5824160230415534,0.4826964671953857,baixa,5.0,1719661.0,Copa,2025-05-15,,Sérvia,Bélgica,2.0,2.0,4.0,2.87,2.6,2.87,2.6,2.87,3.2,2.6,2-2,10.0,,,,0.4826964671953857,1
1719666,2,1,3,2.6,3.5,2.7,1.9983126909309497,2.602305109519536,2.6999836702900386,2.700315294839256,2.5843227594161085,0.5068439577630035,baixa,5.0,1719666.0,Copa,2025-05-15,,Irã,Canadá,2.0,1.0,3.0,2.6,2.7,2.7,2.6,2.6,3.5,2.7,2-1,7.0,,,,0.5068439577630035,2
1719677,1,2,3,2.15,3.4,3.5,0.0043492981766017,2.1503512373110887,3.493463089323596,3.496101424902373,2.1508090776458086,0.5858425285206658,baixa,5.0,1719677.0,Copa,2025-05-15,,França,Senegal,1.0,2.0,3.0,2.15,3.5,3.5,2.15,2.15,3.4,3.5,1-2,8.5,,,,0.5858425285206658,0
1719542,1,1,2,2.0,3.6,3.75,0.996680870393188,3.750085830234209,2.0064225966443106,3.753163538609451,2.004438235432268,0.6117021276595744,média,10.0,1719542.0,Premier,2025-05-15,,Chelsea,Burnley,1.0,1.0,2.0,3.75,2.0,3.75,2.0,2.0,3.6,3.75,1-1,7.0,,,,0.6117021276595744,1
1719546,1,1,2,2.5,3.5,2.75,0.996680870393188,2.748485034801913,2.499963544623712,2.718083528280888,2.500619354580941,0.5173267326732675,baixa,5.0,1719546.0,Premier,2025-05-15,,Leicester,Wolverhampton,1.0,1.0,2.0,2.75,2.5,2.75,2.5,2.5,3.5,2.75,1-1,7.0,,,,0.5173267326732675,1
1719555,2,1,3,3.2,3.6,2.2,1.9983126909309497,3.1957206742281747,2.207963332322303,2.2155258199998613,3.1942338394303054,0.43202416918429004,baixa,5.0,1719555.0,Premier,2025-05-15,,Brighton,Islington,2.0,1.0,3.0,3.2,2.2,2.2,3.2,3.2,3.6,2.2,2-1,6.5,,,,0.43202416918429,2
1719560,3,0,3,2.5,3.6,2.7,2.007668256622306,2.504004374404226,2.701169397676169,2.680507033753618,2.5014857189473334,0.5141342756183745,baixa,5.0,1719560.0,Premier,2025-05-15,,Everton,Wolverhampton,3.0,0.0,3.0,2.5,2.7,2.7,2.5,2.5,3.6,2.7,3-0,6.5,,,,0.5141342756183745,2
1719567,0,0,0,2.2,3.3,3.4,0.9988940248193192,3.396992963807508,2.202413813635502,3.4004245337443644,2.203041723610814,0.576271186440678,baixa,5.0,1719567.0,Premier,2025-05-15,,Liverpool,West Ham,0.0,0.0,0.0,3.4,2.2,3.4,2.2,2.2,3.3,3.4,0-0,9.0,,,,0.576271186440678,1
1719572,3,0,3,2.9,3.3,2.45,2.007668256622306,2.898190148620011,2.454381059002104,2.444516159131259,2.9031296537129743,0.47001211631663975,baixa,5.0,1719572.0,Premier,2025-05-15,,Palace,Tottenham,3.0,0.0,3.0,2.9,2.45,2.45,2.9,2.9,3.3,2.45,3-0,8.5,,,,0.4700121163166397,2
1719581,0,0,0,2.7,3.3,2.62,0.9988940248193192,2.618798201883286,2.698340298155073,2.61603681617595,2.7079108431080567,0.49464068209500606,baixa,5.0,1719581.0,Premier,2025-05-15,,Burnley,West Ham,0.0,0.0,0.0,2.62,2.7,2.62,2.7,2.7,3.3,2.62,0-0,8.5,,,,0.494640682095006,1
1719587,0,0,0,1.95,3.6,3.8,0.9988940248193192,3.797618208641055,1.95596131197239,3.7986920878921016,1.955844267284858,0.6184631803628603,média,10.0,1719587.0,Premier,2025-05-15,,United,Palace,0.0,0.0,0.0,3.8,1.95,3.8,1.95,1.95,3.6,3.8,0-0,7.5,,,,0.6184631803628603,1
1719594,1,2,3,1.86,3.6,4.2,0.0043492981766017,1.863360278002244,4.1940136043441605,4.194497835011602,1.870415302690012,0.6421628189550425,média,10.0,1719594.0,Premier,2025-05-15,,City,Aston,1.0,2.0,3.0,1.86,4.2,4.2,1.86,1.86,3.6,4.2,1-2,7.5,,,,0.6421628189550425,0
1719601,0,2,2,2.3,3.3,3.2,0.0030213050090978,3.1981942677940367,2.301742688664369,3.164332835811269,2.2970059738921096,0.5582124656997256,baixa,5.0,1719601.0,Premier,2025-05-15,,Leeds,Palace,0.0,2.0,2.0,3.2,2.3,3.2,2.3,2.3,3.3,3.2,0-2,8.5,,,,0.5582124656997256,0
1719609,2,0,2,2.7,3.4,2.6,2.0002618051850933,2.600947924584937,2.6986257062406684,2.611600251713618,2.70598625470535,0.49321086261980834,baixa,5.0,1719609.0,Premier,2025-05-15,,Leicester,Islington,2.0,0.0,2.0,2.6,2.7,2.6,2.7,2.7,3.4,2.6,2-0,7.5,,,,0.4932108626198083,2
1719614,0,0,0,2.0,3.6,3.6,0.9988940248193192,3.603069195048216,2.003256894230935,3.601717359719544,2.004438235432268,0.6052631578947368,média,10.0,1719614.0,Premier,2025-05-15,,City,Everton,0.0,0.0,0.0,3.6,2.0,3.6,2.0,2.0,3.6,3.6,0-0,6.5,,,,0.6052631578947368,1
1719632,3,1,4,2.55,3.5,2.62,1.998799652104864,2.5566173389392755,2.622483375198017,2.639741603004406,2.6566132986538435,0.5049443009363902,baixa,5.0,1719632.0,Premier,2025-05-15,,Brighton,Palace,3.0,1.0,4.0,2.55,2.62,2.55,2.62,2.55,3.5,2.62,3-1,6.5,,,,0.5049443009363902,2
1719636,3,0,3,1.95,3.6,3.8,2.007668256622306,1.951797964999764,3.7929395909364025,3.7998814142181208,1.956081967186436,0.6184631803628603,média,10.0,1719636.0,Premier,2025-05-15,,Chelsea,Norwich,3.0,0.0,3.0,1.95,3.8,3.8,1.95,1.95,3.6,3.8,3-0,7.5,,,,0.6184631803628603,2
1719643,0,1,1,2.05,3.4,3.75,0.0025496609568057,3.750831630698568,2.054012104900352,3.74722962298745,2.0536735840316065,0.6054455897108456,média,10.0,1719643.0,Premier,2025-05-15,,Tottenham,Brentford,0.0,1.0,1.0,3.75,2.05,3.75,2.05,2.05,3.4,3.75,0-1,9.0,,,,0.6054455897108456,0
1719650,2,2,4,2.25,3.4,3.2,0.9980064614425204,2.251880890250993,3.198434793183805,2.2927174164920903,3.198535020010206,0.5627671978235522,baixa,5.0,1719650.0,Premier,2025-05-15,,Liverpool,Leicester,2.0,2.0,4.0,2.25,3.2,2.25,3.2,2.25,3.4,3.2,2-2,7.5,,,,0.5627671978235522,1
1719657,3,1,4,2.1,3.6,3.4,1.998799652104864,2.102991057622817,3.398366821881924,2.080820085723499,3.39665787435085,0.5868596881959911,baixa,5.0,1719657.0,Premier,2025-05-15,,Wolverhampton,Watford,3.0,1.0,4.0,2.1,3.4,2.1,3.4,2.1,3.6,3.4,3-1,7.0,,,,0.5868596881959911,2
1719664,0,1,1,1.95,3.75,3.8,0.0025496609568057,3.797618208641055,1.95596131197239,3.798903760583181,1.9567100829630435,0.6197256018638364,média,10.0,1719664.0,Premier,2025-05-15,,Islington,Brighton,0.0,1.0,1.0,3.8,1.95,3.8,1.95,1.95,3.75,3.8,0-1,6.5,,,,0.6197256018638364,0
