Id da partida,Gols time casa,Gols time contra,Gols totais,Odd Casa Vence,Odd Empate,Odd Visitante Vence
1719406,0,0,0,2.4,3.25,3.1
1720035,0,0,0,2.1,3.3,3.6
1719519,1,2,3,2.02,3.4,3.8
1720114,0,2,2,1.95,3.6,3.8
1719540,2,1,3,2.5,3.4,2.8
1719772,1,2,3,2.3,3.5,3.0
1719350,1,0,1,2.62,3.3,2.75
1720081,2,1,3,2.1,3.6,3.4
1720168,1,0,1,2.55,3.25,2.87
1719911,0,2,2,2.2,3.4,3.3
1719768,2,1,3,2.37,3.5,2.9
1720002,1,3,4,3.0,3.5,2.35
1720013,3,2,5,2.9,3.6,2.3
1720100,1,0,1,2.45,3.3,2.9
1719613,0,1,1,2.55,3.5,2.7
1719354,1,0,1,2.35,3.1,3.25
1720073,0,0,0,2.8,3.6,2.4
1719609,2,0,2,2.7,3.4,2.6
1720133,2,1,3,2.15,3.4,3.4
1719900,1,1,2,2.3,3.5,3.1
1720091,1,0,1,3.3,3.5,2.15
1719794,0,3,3,2.5,3.3,2.8
1719662,1,1,2,2.4,3.2,3.1
1719269,0,1,1,2.25,3.3,3.3
1719276,2,0,2,2.05,3.75,3.4
1719534,4,2,6,1.95,3.6,3.8
1720024,0,0,0,2.4,3.5,2.87
1720017,2,0,2,3.1,3.6,2.2
1720178,3,1,4,2.8,3.3,2.55
1720194,0,0,0,2.6,3.5,2.62
1719315,2,1,3,2.62,3.3,2.75
1719734,1,0,1,2.3,3.3,3.2
1719982,0,0,0,2.25,3.4,3.25
1719986,1,1,2,2.4,3.3,3.0
1720164,1,2,3,2.37,3.6,2.87
1719439,1,0,1,2.45,3.4,2.9
1719601,0,2,2,2.3,3.3,3.2
1719737,1,0,1,2.4,3.3,3.0
1720038,4,2,6,3.5,3.6,2.05
1720016,2,1,3,2.62,3.3,2.7
1719263,0,2,2,1.76,3.8,4.33
1719889,2,0,2,2.05,3.4,3.75
1719646,2,2,4,2.37,3.4,3.0
1719780,3,0,3,2.07,3.4,3.6
1719570,1,0,1,1.85,3.6,4.2
1719984,1,2,3,3.0,3.5,2.35
1719914,0,4,4,2.3,3.6,2.9
1719548,1,2,3,2.07,3.5,3.5
1719385,0,1,1,3.1,3.4,2.3
1719963,1,1,2,2.15,3.3,3.6
1719492,1,1,2,2.3,3.5,3.1
1719575,2,0,2,2.0,3.6,3.6
1720226,1,2,3,3.4,3.5,2.1
1719844,1,3,4,2.45,3.5,2.8
1719736,0,0,0,2.4,3.3,3.0
1719523,0,0,0,3.1,3.5,2.3
1719341,3,0,3,2.3,3.5,3.0
1720166,2,1,3,2.7,3.5,2.55
1719990,0,1,1,3.0,3.5,2.35
1719403,0,0,0,2.55,3.2,2.9
1719904,2,1,3,2.6,3.5,2.62
1719710,1,1,2,3.5,3.75,2.02
1719529,2,1,3,2.45,3.1,3.2
1719585,0,2,2,2.7,3.3,2.62
1719680,0,0,0,1.83,3.75,4.33
1719782,0,2,2,2.2,3.3,3.4
1719475,2,0,2,2.75,3.5,2.5
1719830,2,0,2,2.37,3.5,2.9
1719802,4,0,4,2.62,3.4,2.7
1720110,3,1,4,2.15,3.5,3.4
1719860,0,1,1,2.1,3.5,3.5
1720054,1,1,2,2.15,3.5,3.4
1720112,1,2,3,2.5,3.1,3.0
1719998,1,0,1,2.4,3.4,3.0
1719352,2,2,4,2.62,3.3,2.7
1720009,0,1,1,1.9,3.6,4.0
1719677,1,2,3,2.15,3.4,3.5
1719638,2,1,3,2.1,3.4,3.5
1719360,2,2,4,2.8,3.5,2.4
1720227,2,2,4,2.15,3.4,3.4
1720086,1,1,2,2.62,3.3,2.7
1719308,1,3,4,2.15,3.6,3.2
1719454,0,0,0,2.8,3.4,2.5
1720177,0,3,3,2.3,3.5,3.0
1719813,0,2,2,2.4,3.5,2.87
1719977,0,4,4,2.35,3.4,3.1
1719921,1,1,2,3.1,3.4,2.3
1720101,1,2,3,2.15,3.5,3.3
1720044,0,1,1,2.1,3.5,3.5
1719418,1,0,1,2.35,3.4,3.1
1719655,2,3,5,2.3,3.5,3.0
1719389,2,1,3,1.95,3.6,3.8
1720058,1,3,4,2.5,3.5,2.75
1719279,1,1,2,2.4,3.5,2.87
1719368,2,0,2,2.7,3.1,2.8
1719277,1,2,3,2.25,3.4,3.25
1719895,2,2,4,2.2,3.5,3.2
1719837,1,1,2,2.8,3.5,2.5
1719505,0,0,0,2.3,3.2,3.4
1719873,1,0,1,2.5,3.3,2.9
1719627,0,1,1,2.1,3.6,3.3
1719865,2,0,2,1.95,3.6,3.8
1719851,2,0,2,2.45,3.5,2.8
1719517,1,1,2,2.7,3.3,2.62
1719525,3,2,5,2.35,3.3,3.1
1719643,0,1,1,2.05,3.4,3.75
1719306,0,1,1,2.25,3.3,3.3
1719397,1,2,3,2.7,3.4,2.6
1719563,1,0,1,2.25,3.4,3.25
1719745,0,3,3,2.8,3.3,2.55
