Id da partida,Gols time casa,Gols time contra,Gols totais,Odd Casa Vence,Odd Empate,Odd Visitante Vence
1719298,4,1,5,2.25,3.2,3.4
1719503,3,1,4,2.05,3.5,3.6
1719496,1,1,2,2.35,3.4,3.1
1720168,1,0,1,2.55,3.25,2.87
1719722,1,3,4,3.0,3.5,2.3
1719630,3,1,4,1.85,3.6,4.2
1719666,2,1,3,2.6,3.5,2.7
1720070,3,3,6,2.37,3.4,3.0
1719369,2,1,3,3.8,3.75,1.93
1719977,0,4,4,2.35,3.4,3.1
1719544,0,0,0,2.2,3.3,3.4
1719828,0,0,0,2.05,3.4,3.75
1719701,1,1,2,3.3,3.5,2.15
1720117,1,1,2,2.5,3.0,3.1
1719677,1,2,3,2.15,3.4,3.5
1719598,0,0,0,2.4,3.25,3.1
1719792,1,1,2,2.07,3.4,3.75
1719472,2,0,2,2.2,3.6,3.1
1719473,0,2,2,2.0,3.5,3.75
1719659,0,1,1,2.15,3.6,3.25
1719755,0,1,1,2.3,3.6,3.0
1720187,0,0,0,2.62,3.4,2.7
1719943,4,1,5,2.75,3.5,2.5
1719764,2,2,4,2.25,3.5,3.1
1719914,0,4,4,2.3,3.6,2.9
1719445,1,0,1,2.37,3.4,3.0
1720154,0,0,0,2.55,3.3,2.8
1719294,1,2,3,1.95,3.6,3.8
1720126,0,0,0,2.3,3.6,3.0
1719343,0,1,1,2.9,3.25,2.5
1720152,0,0,0,2.7,3.5,2.55
1719340,2,2,4,2.37,3.25,3.1
1720220,2,0,2,2.05,3.4,3.75
1719750,2,1,3,2.87,3.5,2.4
1720128,2,1,3,2.0,3.5,3.75
1720121,0,0,0,3.3,3.5,2.15
1720157,2,0,2,2.8,3.3,2.55
1719594,1,2,3,1.86,3.6,4.2
1719378,2,1,3,2.37,3.4,3.0
1719909,1,0,1,1.85,3.6,4.2
1719332,3,3,6,1.95,3.6,3.8
1719384,1,0,1,2.05,3.5,3.6
1719452,2,0,2,2.35,3.4,3.0
1719990,0,1,1,3.0,3.5,2.35
1719333,2,1,3,2.8,3.3,2.55
1720144,1,0,1,2.5,3.4,2.75
1719375,3,0,3,2.37,3.25,3.1
1720205,2,0,2,2.05,3.5,3.6
1720029,2,1,3,2.8,3.3,2.55
1720052,0,1,1,3.3,3.5,2.15
1719907,1,0,1,2.5,3.2,3.0
1719857,0,0,0,2.87,3.5,2.4
1719380,2,2,4,2.62,3.3,2.75
1719788,0,1,1,2.3,3.4,3.1
1719662,1,1,2,2.4,3.2,3.1
1719699,1,2,3,3.2,3.6,2.2
1720089,2,2,4,2.8,3.4,2.5
1720110,3,1,4,2.15,3.5,3.4
1719890,1,0,1,3.0,3.5,2.35
1719753,1,0,1,2.4,3.1,3.2
1720173,0,1,1,2.62,3.3,2.7
1720024,0,0,0,2.4,3.5,2.87
1720078,0,0,0,2.75,3.5,2.45
1719511,1,2,3,2.45,3.5,2.87
1720011,0,1,1,2.7,3.5,2.55
1719661,2,2,4,2.87,3.2,2.6
1719904,2,1,3,2.6,3.5,2.62
1719624,1,1,2,2.7,3.4,2.6
1719326,4,2,6,3.4,3.5,2.1
1720114,0,2,2,1.95,3.6,3.8
1719687,3,1,4,2.0,3.6,3.75
1719532,0,1,1,2.4,3.2,3.1
1719339,0,1,1,2.7,3.4,2.6
1719780,3,0,3,2.07,3.4,3.6
1719839,2,1,3,2.4,3.3,3.0
1719734,1,0,1,2.3,3.3,3.2
1719877,1,1,2,2.5,3.4,2.8
1719529,2,1,3,2.45,3.1,3.2
1719540,2,1,3,2.5,3.4,2.8
1719292,0,2,2,2.3,3.5,3.0
1719556,2,0,2,2.15,3.5,3.3
1719736,0,0,0,2.4,3.3,3.0
1719327,4,0,4,2.75,3.5,2.45
1720215,0,0,0,2.7,3.4,2.6
1719737,1,0,1,2.4,3.3,3.0
1719996,3,1,4,2.3,3.5,3.1
1719815,0,2,2,2.5,3.3,2.8
1719325,1,1,2,2.6,3.2,2.87
1719555,2,1,3,3.2,3.6,2.2
1719650,2,2,4,2.25,3.4,3.2
1720159,1,2,3,2.35,3.1,3.25
1720040,1,2,3,2.7,3.4,2.6
1719592,0,3,3,3.1,3.4,2.3
1719486,3,1,4,3.2,3.6,2.2
1719392,0,0,0,2.3,3.6,3.0
1719652,1,1,2,2.75,3.2,2.7
1719876,2,1,3,3.2,3.5,2.2
1719610,2,2,4,2.9,3.3,2.45
1720184,0,2,2,2.87,3.6,2.37
1719341,3,0,3,2.3,3.5,3.0
1720133,2,1,3,2.15,3.4,3.4
1719354,1,0,1,2.35,3.1,3.25
1720124,0,1,1,2.4,3.3,3.0
1720096,1,0,1,2.4,3.2,3.1
1720056,1,0,1,3.1,3.5,2.25
1720095,2,2,4,3.2,3.6,2.2
1719837,1,1,2,2.8,3.5,2.5
1719549,2,2,4,2.45,3.6,2.75
1719715,0,1,1,2.5,3.2,3.0
1720009,0,1,1,1.9,3.6,4.0
