Id da partida,Gols time casa,Gols time contra,Gols totais,Odd Casa Vence,Odd Empate,Odd Visitante Vence
1719302,2,1,3,2.55,3.3,2.8
1719286,0,0,0,2.55,3.4,2.75
1720095,2,2,4,3.2,3.6,2.2
1719272,1,1,2,2.5,3.3,2.9
1720177,0,3,3,2.3,3.5,3.0
1719701,1,1,2,3.3,3.5,2.15
1719649,0,3,3,2.87,3.4,2.45
1719329,1,2,3,2.7,3.2,2.75
1719549,2,2,4,2.45,3.6,2.75
1719974,0,1,1,2.07,3.5,3.6
1719960,4,0,4,2.15,3.6,3.25
1720226,1,2,3,3.4,3.5,2.1
1720068,1,2,3,2.7,3.2,2.75
1719739,0,1,1,2.75,3.5,2.5
1719556,2,0,2,2.15,3.5,3.3
1719343,0,1,1,2.9,3.25,2.5
1720156,3,1,4,2.6,3.5,2.7
1719350,1,0,1,2.62,3.3,2.75
1719729,1,1,2,3.3,3.6,2.15
1719565,1,3,4,2.3,3.5,3.0
1719815,0,2,2,2.5,3.3,2.8
1720079,2,0,2,2.05,3.5,3.6
1720011,0,1,1,2.7,3.5,2.55
1720138,2,0,2,3.0,3.3,2.4
1720128,2,1,3,2.0,3.5,3.75
1720063,3,2,5,2.6,3.5,2.62
1720166,2,1,3,2.7,3.5,2.55
1719647,0,3,3,2.75,3.6,2.5
1719523,0,0,0,3.1,3.5,2.3
1720019,2,1,3,2.75,3.5,2.45
1719506,2,1,3,2.1,3.5,3.5
1719650,2,2,4,2.25,3.4,3.2
1719662,1,1,2,2.4,3.2,3.1
1719967,0,1,1,2.37,3.4,3.0
1719806,3,0,3,2.05,3.5,3.6
1719438,1,0,1,2.3,3.5,3.0
1719327,4,0,4,2.75,3.5,2.45
1719605,1,1,2,2.5,3.3,2.9
1719297,2,0,2,2.1,3.5,3.5
1719677,1,2,3,2.15,3.4,3.5
1720180,1,1,2,2.62,3.4,2.7
1719445,1,0,1,2.37,3.4,3.0
1719578,0,0,0,2.37,3.5,2.9
1719661,2,2,4,2.87,3.2,2.6
1720109,1,1,2,2.9,3.3,2.45
1719443,1,2,3,2.4,3.5,2.87
1719312,0,1,1,2.35,3.3,3.1
1719716,1,1,2,2.7,3.6,2.55
1719877,1,1,2,2.5,3.4,2.8
1719776,1,2,3,2.7,3.4,2.6
1719364,0,0,0,2.1,3.4,3.5
1719696,2,1,3,2.8,3.5,2.5
1719333,2,1,3,2.8,3.3,2.55
1719718,1,1,2,2.6,3.2,2.87
1719734,1,0,1,2.3,3.3,3.2
1719973,1,0,1,2.87,3.5,2.4
1720086,1,1,2,2.62,3.3,2.7
1720021,1,0,1,2.75,3.25,2.62
1719943,4,1,5,2.75,3.5,2.5
1719575,2,0,2,2.0,3.6,3.6
1720002,1,3,4,3.0,3.5,2.35
1719682,2,1,3,2.15,3.5,3.3
1720072,2,4,6,3.0,3.3,2.4
1719496,1,1,2,2.35,3.4,3.1
1719876,2,1,3,3.2,3.5,2.2
1719849,1,3,4,1.9,3.6,4.0
1719582,2,1,3,2.55,3.25,2.87
1719320,2,0,2,2.25,3.2,3.4
1719475,2,0,2,2.75,3.5,2.5
1719858,1,1,2,2.9,3.4,2.45
1719387,4,0,4,2.05,3.4,3.75
1719517,1,1,2,2.7,3.3,2.62
1719263,0,2,2,1.76,3.8,4.33
1719946,2,0,2,2.8,3.3,2.55
1719963,1,1,2,2.15,3.3,3.6
1719326,4,2,6,3.4,3.5,2.1
1719439,1,0,1,2.45,3.4,2.9
1719939,1,1,2,3.0,3.3,2.4
1719783,2,0,2,2.3,3.25,3.25
1719832,0,1,1,2.0,3.5,3.75
1720016,2,1,3,2.62,3.3,2.7
1720163,2,2,4,2.25,3.4,3.2
1719279,1,1,2,2.4,3.5,2.87
1720017,2,0,2,3.1,3.6,2.2
1720152,0,0,0,2.7,3.5,2.55
1719982,0,0,0,2.25,3.4,3.25
1719435,2,2,4,2.2,3.25,3.5
1719757,2,0,2,2.25,3.4,3.25
1719940,1,0,1,2.6,3.5,2.7
1719683,2,2,4,2.3,3.4,3.1
1719652,1,1,2,2.75,3.2,2.7
1719953,3,2,5,2.4,3.2,3.1
1720137,1,3,4,2.7,3.1,2.8
1720059,0,0,0,2.6,3.4,2.7
1720038,4,2,6,3.5,3.6,2.05
1719984,1,2,3,3.0,3.5,2.35
1720005,0,3,3,2.35,3.1,3.25
1720189,1,2,3,3.25,3.4,2.25
1719868,0,1,1,2.45,3.2,3.0
1719990,0,1,1,3.0,3.5,2.35
1719373,3,2,5,2.35,3.5,2.9
1719937,1,1,2,2.05,3.5,3.6
1720194,0,0,0,2.6,3.5,2.62
1719562,1,0,1,1.95,3.6,3.8
1719617,0,2,2,3.1,3.4,2.3
1719519,1,2,3,2.02,3.4,3.8
1720103,1,2,3,3.1,3.4,2.3
1719860,0,1,1,2.1,3.5,3.5
1720114,0,2,2,1.95,3.6,3.8
1720096,1,0,1,2.4,3.2,3.1
