Id da partida,Campeonato,Data,Tempo,Time da casa,Time contra,Gols time casa,Gols time contra,Gols totais,Odd Over 2.5,Odd Under 2.5,Odd Over 3.5,Odd Under 3.5,Odd Casa Vence,Odd Empate,Odd Visitante Vence,Placar Exato,Odd Placar Exato,Data das odds,HORA,COLUNA,PROBABILIDADE,OUTCOME
1720103,Euro,2025-05-15,1900-01-01 04:02:00,Geórgia,Itália,1,2,3,3.1,2.3,2.3,3.1,3.1,3.4,2.3,1-2,8.5,2025-05-15 00:55:00,4,2,0.4466457434287955,0
1720110,Euro,2025-05-15,1900-01-01 04:05:00,Alemanha,Hungria,3,1,4,2.15,3.4,2.15,3.4,2.15,3.5,3.4,3-1,7.5,2025-05-15 00:55:00,4,5,0.5818215821956236,2
1720117,Euro,2025-05-15,1900-01-01 04:08:00,Albânia,Eslovênia,1,1,2,3.1,2.5,3.1,2.5,2.5,3.0,3.1,1-1,12.0,2025-05-15 00:55:00,4,8,0.5366598778004074,1
1720124,Euro,2025-05-15,1900-01-01 04:11:00,Escócia,Polônia,0,1,1,3.0,2.4,3.0,2.4,2.4,3.3,3.0,0-1,8.5,2025-05-15 00:55:00,4,11,0.5395683453237411,0
1720131,Euro,2025-05-15,1900-01-01 04:14:00,Hungria,Dinamarca,0,0,0,2.7,2.62,2.7,2.62,2.62,3.3,2.7,0-0,9.0,2025-05-15 00:55:00,4,14,0.5053593179049939,1
1720137,Euro,2025-05-15,1900-01-01 04:17:00,Albânia,Turquia,1,3,4,2.7,2.8,2.7,2.8,2.7,3.1,2.8,1-3,11.0,2025-05-15 00:55:00,4,17,0.5062982527427874,0
1720144,Euro,2025-05-15,1900-01-01 04:20:00,Hungria,Suíça,1,0,1,2.75,2.5,2.75,2.5,2.5,3.4,2.75,1-0,7.5,2025-05-15 00:55:00,4,20,0.5171890798786655,2
1720152,Euro,2025-05-15,1900-01-01 04:23:00,Croácia,Alemanha,0,0,0,2.55,2.7,2.55,2.7,2.7,3.5,2.55,0-0,7.0,2025-05-15 00:55:00,4,23,0.4896080760095012,1
1720159,Euro,2025-05-15,1900-01-01 04:26:00,Turquia,Albânia,1,2,3,2.35,3.25,3.25,2.35,2.35,3.1,3.25,1-2,11.0,2025-05-15 00:55:00,4,26,0.5558055805580557,0
1720166,Euro,2025-05-15,1900-01-01 04:29:00,Áustria,Espanha,2,1,3,2.7,2.55,2.55,2.7,2.7,3.5,2.55,2-1,7.0,2025-05-15 00:55:00,4,29,0.4896080760095012,2
