Id da partida,Gols time casa,Gols time contra,Gols totais,Odd Casa Vence,Odd Empate,Odd Visitante Vence
1720205,2,0,2,2.05,3.5,3.6
1719943,4,1,5,2.75,3.5,2.5
1720100,1,0,1,2.45,3.3,2.9
1720037,2,0,2,3.0,3.5,2.35
1719748,2,1,3,3.2,3.6,2.2
1719618,0,1,1,2.45,3.4,2.9
1719653,2,4,6,2.62,3.3,2.75
1719527,0,0,0,3.0,3.6,2.25
1720078,0,0,0,2.75,3.5,2.45
1719333,2,1,3,2.8,3.3,2.55
1720107,1,0,1,1.98,3.5,4.0
1719939,1,1,2,3.0,3.3,2.4
1719876,2,1,3,3.2,3.5,2.2
1719436,1,2,3,2.6,3.4,2.7
1719993,1,0,1,2.5,3.3,2.8
1719821,1,3,4,2.45,3.4,2.9
1719503,3,1,4,2.05,3.5,3.6
1719592,0,3,3,3.1,3.4,2.3
1719942,0,0,0,2.02,3.4,3.8
1719755,0,1,1,2.3,3.6,3.0
1720105,1,1,2,2.0,3.6,3.75
1719537,1,2,3,2.87,3.4,2.45
1719496,1,1,2,2.35,3.4,3.1
1719585,0,2,2,2.7,3.3,2.62
1720026,1,0,1,2.9,3.3,2.45
1719454,0,0,0,2.8,3.4,2.5
1720227,2,2,4,2.15,3.4,3.4
1720012,1,2,3,2.9,3.4,2.45
1719776,1,2,3,2.7,3.4,2.6
1719865,2,0,2,1.95,3.6,3.8
1719494,2,2,4,2.3,3.5,3.0
1720073,0,0,0,2.8,3.6,2.4
1719373,3,2,5,2.35,3.5,2.9
1720072,2,4,6,3.0,3.3,2.4
1719832,0,1,1,2.0,3.5,3.75
1719834,1,2,3,2.5,3.5,2.75
1719771,2,0,2,2.9,3.25,2.5
1720175,2,0,2,1.85,3.75,4.2
1719587,0,0,0,1.95,3.6,3.8
1719835,1,2,3,3.6,3.75,1.98
1719730,3,2,5,2.25,3.6,3.0
1719329,1,2,3,2.7,3.2,2.75
1719523,0,0,0,3.1,3.5,2.3
1719646,2,2,4,2.37,3.4,3.0
1719638,2,1,3,2.1,3.4,3.5
1719809,1,0,1,2.75,3.2,2.7
1719286,0,0,0,2.55,3.4,2.75
1719716,1,1,2,2.7,3.6,2.55
1719922,1,1,2,2.75,3.5,2.5
1719920,1,0,1,1.95,3.5,4.0
1720002,1,3,4,3.0,3.5,2.35
1720178,3,1,4,2.8,3.3,2.55
1719514,1,0,1,2.2,3.6,3.2
1720044,0,1,1,2.1,3.5,3.5
1719970,0,2,2,2.37,3.4,3.0
1719478,2,2,4,3.6,3.75,1.98
1719315,2,1,3,2.62,3.3,2.75
1720192,0,2,2,2.45,3.2,3.0
1720135,1,1,2,3.0,3.5,2.3
1719820,1,3,4,2.62,3.5,2.6
1719699,1,2,3,3.2,3.6,2.2
1719544,0,0,0,2.2,3.3,3.4
1719996,3,1,4,2.3,3.5,3.1
1719823,4,1,5,2.45,3.1,3.2
1719501,1,2,3,3.0,3.3,2.4
1720089,2,2,4,2.8,3.4,2.5
1719272,1,1,2,2.5,3.3,2.9
1719562,1,0,1,1.95,3.6,3.8
1719627,0,1,1,2.1,3.6,3.3
1719320,2,0,2,2.25,3.2,3.4
1720035,0,0,0,2.1,3.3,3.6
1719530,2,1,3,2.25,3.4,3.2
1720149,2,1,3,2.1,3.6,3.3
1719483,2,1,3,2.0,3.6,3.6
1719909,1,0,1,1.85,3.6,4.2
1719405,1,1,2,2.4,3.4,3.0
1719718,1,1,2,2.6,3.2,2.87
1719851,2,0,2,2.45,3.5,2.8
1719762,0,1,1,2.62,3.2,2.75
1719521,1,1,2,2.3,3.3,3.2
1719287,3,0,3,2.62,3.3,2.75
1719837,1,1,2,2.8,3.5,2.5
1719411,4,2,6,2.7,3.3,2.62
1719459,2,0,2,2.15,3.4,3.4
1719551,0,2,2,2.9,3.3,2.45
1719682,2,1,3,2.15,3.5,3.3
1719879,1,1,2,2.15,3.5,3.4
1720086,1,1,2,2.62,3.3,2.7
1719346,1,1,2,2.37,3.5,2.9
1719399,0,3,3,2.87,3.4,2.45
1720210,0,3,3,2.2,3.4,3.3
1719396,1,3,4,3.0,3.4,2.37
1720024,0,0,0,2.4,3.5,2.87
1720058,1,3,4,2.5,3.5,2.75
1720046,0,1,1,2.3,3.3,3.2
1719631,2,0,2,2.62,3.2,2.75
1719420,0,1,1,2.9,3.4,2.45
1720103,1,2,3,3.1,3.4,2.3
1720067,2,1,3,2.8,3.3,2.55
1720009,0,1,1,1.9,3.6,4.0
1719343,0,1,1,2.9,3.25,2.5
1719348,1,0,1,2.8,3.4,2.55
1720150,0,0,0,1.9,3.6,4.0
1720154,0,0,0,2.55,3.3,2.8
1719677,1,2,3,2.15,3.4,3.5
1719541,1,2,3,2.2,3.25,3.5
1719291,0,1,1,2.1,3.5,3.5
1719335,0,1,1,2.37,3.6,2.87
1720133,2,1,3,2.15,3.4,3.4
1719313,1,0,1,2.8,3.3,2.55
