Id da partida,Gols time casa,Gols time contra,Gols totais,Odd Casa Vence,Odd Empate,Odd Visitante Vence
1720059,0,0,0,2.6,3.4,2.7
1719790,2,1,3,2.15,3.5,3.3
1720200,2,0,2,2.3,3.5,3.0
1720037,2,0,2,3.0,3.5,2.35
1719397,1,2,3,2.7,3.4,2.6
1719486,3,1,4,3.2,3.6,2.2
1720081,2,1,3,2.1,3.6,3.4
1719452,2,0,2,2.35,3.4,3.0
1719995,0,1,1,2.25,3.5,3.2
1719308,1,3,4,2.15,3.6,3.2
1719879,1,1,2,2.15,3.5,3.4
1720184,0,2,2,2.87,3.6,2.37
1720129,2,1,3,3.0,3.5,2.3
1719554,3,2,5,2.55,3.25,2.87
1719449,3,2,5,1.95,3.75,3.75
1720227,2,2,4,2.15,3.4,3.4
1719571,1,0,1,2.6,3.2,2.87
1719984,1,2,3,3.0,3.5,2.35
1719480,3,0,3,1.76,3.8,4.5
1720206,1,2,3,2.6,3.5,2.62
1719907,1,0,1,2.5,3.2,3.0
1719455,1,0,1,2.3,3.6,3.0
1719996,3,1,4,2.3,3.5,3.1
1719914,0,4,4,2.3,3.6,2.9
1719339,0,1,1,2.7,3.4,2.6
1720091,1,0,1,3.3,3.5,2.15
1719348,1,0,1,2.8,3.4,2.55
1719310,1,1,2,2.25,3.5,3.1
1720030,2,3,5,3.1,3.4,2.3
1719487,2,1,3,2.5,3.3,2.8
1719640,1,0,1,2.6,3.5,2.62
1719320,2,0,2,2.25,3.2,3.4
1719825,0,0,0,3.0,3.3,2.4
1719534,4,2,6,1.95,3.6,3.8
1720224,2,1,3,2.7,3.3,2.62
1720133,2,1,3,2.15,3.4,3.4
1719601,0,2,2,2.3,3.3,3.2
1719998,1,0,1,2.4,3.4,3.0
1719734,1,0,1,2.3,3.3,3.2
1719468,2,1,3,2.87,3.4,2.45
1720024,0,0,0,2.4,3.5,2.87
1719963,1,1,2,2.15,3.3,3.6
1719992,2,1,3,2.75,3.5,2.5
1719567,0,0,0,2.2,3.3,3.4
1719788,0,1,1,2.3,3.4,3.1
1719429,2,2,4,1.95,3.6,3.8
1719961,1,2,3,2.87,3.5,2.4
1719967,0,1,1,2.37,3.4,3.0
1719834,1,2,3,2.5,3.5,2.75
1719433,2,0,2,2.1,3.6,3.3
1719815,0,2,2,2.5,3.3,2.8
1719895,2,2,4,2.2,3.5,3.2
1719739,0,1,1,2.75,3.5,2.5
1720177,0,3,3,2.3,3.5,3.0
1720144,1,0,1,2.5,3.4,2.75
1719753,1,0,1,2.4,3.1,3.2
1719682,2,1,3,2.15,3.5,3.3
1720045,0,2,2,2.25,3.5,3.2
1719340,2,2,4,2.37,3.25,3.1
1720219,1,1,2,3.5,3.6,2.05
1719369,2,1,3,3.8,3.75,1.93
1719890,1,0,1,3.0,3.5,2.35
1719873,1,0,1,2.5,3.3,2.9
1719851,2,0,2,2.45,3.5,2.8
1719847,2,0,2,2.75,3.2,2.7
1719946,2,0,2,2.8,3.3,2.55
1719496,1,1,2,2.35,3.4,3.1
1719661,2,2,4,2.87,3.2,2.6
1719451,1,0,1,2.1,3.6,3.4
1719704,1,0,1,3.5,3.75,2.02
1719551,0,2,2,2.9,3.3,2.45
1719768,2,1,3,2.37,3.5,2.9
1720103,1,2,3,3.1,3.4,2.3
1719408,0,2,2,2.25,3.6,3.0
1720168,1,0,1,2.55,3.25,2.87
1719525,3,2,5,2.35,3.3,3.1
1719692,4,1,5,2.1,3.4,3.5
1719305,2,2,4,2.15,3.4,3.4
1719688,0,0,0,2.25,3.6,3.1
1719664,0,1,1,1.95,3.75,3.8
1720107,1,0,1,1.98,3.5,4.0
1719778,0,2,2,3.25,3.4,2.25
1720152,0,0,0,2.7,3.5,2.55
1719371,1,1,2,2.2,3.5,3.3
1719289,0,3,3,2.1,3.6,3.4
1719675,1,1,2,2.02,3.6,3.6
1720044,0,1,1,2.1,3.5,3.5
1720086,1,1,2,2.62,3.3,2.7
1719617,0,2,2,3.1,3.4,2.3
1720212,1,0,1,2.25,3.6,3.1
1719794,0,3,3,2.5,3.3,2.8
1720067,2,1,3,2.8,3.3,2.55
1719326,4,2,6,3.4,3.5,2.1
1719530,2,1,3,2.25,3.4,3.2
1719647,0,3,3,2.75,3.6,2.5
1719269,0,1,1,2.25,3.3,3.3
1719618,0,1,1,2.45,3.4,2.9
1719380,2,2,4,2.62,3.3,2.75
1719598,0,0,0,2.4,3.25,3.1
1719764,2,2,4,2.25,3.5,3.1
1720191,2,4,6,2.87,3.2,2.6
1720000,0,0,0,2.3,3.5,3.1
1719758,2,1,3,2.45,3.4,2.9
1719607,1,2,3,2.8,3.4,2.5
1720122,0,0,0,1.9,3.6,4.0
1720101,1,2,3,2.15,3.5,3.3
1719736,0,0,0,2.4,3.3,3.0
1719589,2,2,4,1.95,3.6,3.8
1719465,4,1,5,1.72,3.8,4.75
1719927,0,1,1,2.35,3.1,3.3
