Id da partida,Gols time casa,Gols time contra,Gols totais,Odd Casa Vence,Odd Empate,Odd Visitante Vence,PRED_0,PRED_1,PRED_2,PRED_3,PRED_4,Id da partida.1,Campeonato,Data,Tempo,Time da casa,Time contra,Gols time casa.1,Gols time contra.1,Gols totais.1,Odd Over 2.5,Odd Under 2.5,Odd Over 3.5,Odd Under 3.5,Odd Casa Vence.1,Odd Empate.1,Odd Visitante Vence.1,Placar Exato,Odd Placar Exato,Data das odds,HORA,COLUNA,PROBABILIDADE,OUTCOME
1719546.0,1.0,1.0,2.0,2.5,3.5,2.75,0.9987901317400858,2.750851833903743,2.498397184358508,2.7431639443629794,2.4914525884239294,1719662,Euro,2025-05-15,,República Tcheca,Polônia,1,1,2,3.1,2.4,3.1,2.4,2.4,3.2,3.1,1-1,10.0,,,,0.5173267326732675,1
1719505.0,0.0,0.0,0.0,2.3,3.2,3.4,0.9993050004559356,3.393292827414612,2.3015895264459214,3.3987879334672946,2.303639485611229,1719669,Euro,2025-05-15,,Eslováquia,Dinamarca,1,1,2,2.45,2.9,2.45,2.9,2.9,3.3,2.45,1-1,8.5,,,,0.5675364543361474,1
1719460.0,2.0,1.0,3.0,3.1,3.5,2.25,1.9981577669883157,3.098108835083585,2.2669407223533047,2.274766147876818,3.0989893934573822,1719675,Euro,2025-05-15,,Inglaterra,Ucrânia,1,1,2,3.6,2.02,3.6,2.02,2.02,3.6,3.6,1-1,7.0,,,,0.44212062256809337,2
,,,,,,,,,,,,1719541,Copa,2025-05-15,,EUA,Coreia do Sul,1,2,3,2.2,3.5,3.5,2.2,2.2,3.25,3.5,1-2,10.0,,,,,0
,,,,,,,,,,,,1719548,Copa,2025-05-15,,França,México,1,2,3,2.07,3.5,3.5,2.07,2.07,3.5,3.5,1-2,7.5,,,,,0
,,,,,,,,,,,,1719556,Copa,2025-05-15,,Países Baixos,Equador,2,0,2,3.3,2.15,3.3,2.15,2.15,3.5,3.3,2-0,7.5,,,,,0
,,,,,,,,,,,,1719562,Copa,2025-05-15,,Alemanha,Coreia do Sul,1,0,1,3.8,1.95,3.8,1.95,1.95,3.6,3.8,1-0,7.5,,,,,0
,,,,,,,,,,,,1719570,Copa,2025-05-15,,Bélgica,Irã,1,0,1,4.2,1.85,4.2,1.85,1.85,3.6,4.2,1-0,7.5,,,,,0
,,,,,,,,,,,,1719578,Copa,2025-05-15,,Alemanha,Países Baixos,0,0,0,2.9,2.37,2.9,2.37,2.37,3.5,2.9,0-0,7.0,,,,,0
,,,,,,,,,,,,1719582,Copa,2025-05-15,,México,Senegal,2,1,3,2.55,2.87,2.87,2.55,2.55,3.25,2.87,2-1,9.0,,,,,0
,,,,,,,,,,,,1719589,Copa,2025-05-15,,Bélgica,Camarões,2,2,4,1.95,3.8,1.95,3.8,1.95,3.6,3.8,2-2,7.5,,,,,0
,,,,,,,,,,,,1719598,Copa,2025-05-15,,Uruguai,EUA,0,0,0,3.1,2.4,3.1,2.4,2.4,3.25,3.1,0-0,9.0,,,,,0
,,,,,,,,,,,,1719607,Copa,2025-05-15,,Polônia,Bélgica,1,2,3,2.8,2.5,2.5,2.8,2.8,3.4,2.5,1-2,8.0,,,,,0
,,,,,,,,,,,,1719610,Copa,2025-05-15,,Sérvia,Espanha,2,2,4,2.9,2.45,2.9,2.45,2.9,3.3,2.45,2-2,8.5,,,,,0
,,,,,,,,,,,,1719618,Copa,2025-05-15,,Croácia,Dinamarca,0,1,1,2.9,2.45,2.9,2.45,2.45,3.4,2.9,0-1,8.0,,,,,0
,,,,,,,,,,,,1719623,Copa,2025-05-15,,País de Gales,EUA,1,2,3,2.75,2.7,2.7,2.75,2.75,3.2,2.7,1-2,10.0,,,,,0
,,,,,,,,,,,,1719630,Copa,2025-05-15,,Inglaterra,Canadá,3,1,4,1.85,4.2,1.85,4.2,1.85,3.6,4.2,3-1,7.5,,,,,0
,,,,,,,,,,,,1719640,Copa,2025-05-15,,Dinamarca,Alemanha,1,0,1,2.62,2.6,2.62,2.6,2.6,3.5,2.62,1-0,6.5,,,,,0
,,,,,,,,,,,,1719649,Copa,2025-05-15,,Costa Rica,Polônia,0,3,3,2.87,2.45,2.45,2.87,2.87,3.4,2.45,0-3,7.5,,,,,0
,,,,,,,,,,,,1719653,Copa,2025-05-15,,Senegal,Países Baixos,2,4,6,2.62,2.75,2.62,2.75,2.62,3.3,2.75,2-4,8.5,,,,,0
,,,,,,,,,,,,1719661,Copa,2025-05-15,,Sérvia,Bélgica,2,2,4,2.87,2.6,2.87,2.6,2.87,3.2,2.6,2-2,10.0,,,,,0
,,,,,,,,,,,,1719666,Copa,2025-05-15,,Irã,Canadá,2,1,3,2.6,2.7,2.7,2.6,2.6,3.5,2.7,2-1,7.0,,,,,0
,,,,,,,,,,,,1719677,Copa,2025-05-15,,França,Senegal,1,2,3,2.15,3.5,3.5,2.15,2.15,3.4,3.5,1-2,8.5,,,,,0
,,,,,,,,,,,,1719542,Premier,2025-05-15,,Chelsea,Burnley,1,1,2,3.75,2.0,3.75,2.0,2.0,3.6,3.75,1-1,7.0,,,,,0
,,,,,,,,,,,,1719546,Premier,2025-05-15,,Leicester,Wolverhampton,1,1,2,2.75,2.5,2.75,2.5,2.5,3.5,2.75,1-1,7.0,,,,,0
,,,,,,,,,,,,1719555,Premier,2025-05-15,,Brighton,Islington,2,1,3,3.2,2.2,2.2,3.2,3.2,3.6,2.2,2-1,6.5,,,,,0
,,,,,,,,,,,,1719560,Premier,2025-05-15,,Everton,Wolverhampton,3,0,3,2.5,2.7,2.7,2.5,2.5,3.6,2.7,3-0,6.5,,,,,0
,,,,,,,,,,,,1719567,Premier,2025-05-15,,Liverpool,West Ham,0,0,0,3.4,2.2,3.4,2.2,2.2,3.3,3.4,0-0,9.0,,,,,0
,,,,,,,,,,,,1719572,Premier,2025-05-15,,Palace,Tottenham,3,0,3,2.9,2.45,2.45,2.9,2.9,3.3,2.45,3-0,8.5,,,,,0
,,,,,,,,,,,,1719581,Premier,2025-05-15,,Burnley,West Ham,0,0,0,2.62,2.7,2.62,2.7,2.7,3.3,2.62,0-0,8.5,,,,,0
