Id da partida,Gols time casa,Gols time contra,Gols totais,Odd Casa Vence,Odd Empate,Odd Visitante Vence
1719965,0,1,1,2.8,3.4,2.55
1719993,1,0,1,2.5,3.3,2.8
1719465,4,1,5,1.72,3.8,4.75
1720072,2,4,6,3.0,3.3,2.4
1720150,0,0,0,1.9,3.6,4.0
1720170,3,1,4,2.5,3.5,2.75
1720114,0,2,2,1.95,3.6,3.8
1719821,1,3,4,2.45,3.4,2.9
1720175,2,0,2,1.85,3.75,4.2
1720008,2,0,2,2.37,3.4,3.0
1719786,1,1,2,3.4,3.5,2.1
1719715,0,1,1,2.5,3.2,3.0
1719496,1,1,2,2.35,3.4,3.1
1720143,3,1,4,2.1,3.5,3.5
1719930,3,0,3,2.6,3.5,2.7
1719671,2,0,2,2.6,3.4,2.7
1719677,1,2,3,2.15,3.4,3.5
1719732,3,0,3,2.87,3.2,2.6
1720163,2,2,4,2.25,3.4,3.2
1719333,2,1,3,2.8,3.3,2.55
1719362,3,1,4,2.6,3.4,2.7
1720124,0,1,1,2.4,3.3,3.0
1719306,0,1,1,2.25,3.3,3.3
1719376,2,2,4,2.3,3.6,3.0
1719703,2,1,3,2.7,3.2,2.75
1719912,1,3,4,2.6,3.1,2.9
1720145,2,0,2,2.9,3.3,2.45
1720109,1,1,2,2.9,3.3,2.45
1719584,0,2,2,2.4,3.3,3.0
1719890,1,0,1,3.0,3.5,2.35
1719508,1,0,1,2.3,3.6,3.0
1720045,0,2,2,2.25,3.5,3.2
1719486,3,1,4,3.2,3.6,2.2
1719612,0,1,1,2.4,3.3,3.0
1719427,1,0,1,2.15,3.5,3.4
1720192,0,2,2,2.45,3.2,3.0
1719646,2,2,4,2.37,3.4,3.0
1719713,0,0,0,2.2,3.3,3.4
1719613,0,1,1,2.55,3.5,2.7
1720226,1,2,3,3.4,3.5,2.1
1719748,2,1,3,3.2,3.6,2.2
1719610,2,2,4,2.9,3.3,2.45
1720070,3,3,6,2.37,3.4,3.0
1719960,4,0,4,2.15,3.6,3.25
1719392,0,0,0,2.3,3.6,3.0
1720131,0,0,0,2.62,3.3,2.7
1719655,2,3,5,2.3,3.5,3.0
1719568,1,1,2,2.4,3.25,3.1
1719439,1,0,1,2.45,3.4,2.9
1719640,1,0,1,2.6,3.5,2.62
1719667,1,2,3,2.35,3.1,3.3
1720089,2,2,4,2.8,3.4,2.5
1719281,2,2,4,3.1,3.5,2.25
1719967,0,1,1,2.37,3.4,3.0
1720084,3,3,6,2.45,3.5,2.8
1719753,1,0,1,2.4,3.1,3.2
1719853,1,0,1,2.3,3.4,3.1
1720227,2,2,4,2.15,3.4,3.4
1719711,1,0,1,2.37,3.5,2.9
1719475,2,0,2,2.75,3.5,2.5
1719899,1,1,2,2.07,3.4,3.75
1719468,2,1,3,2.87,3.4,2.45
1719718,1,1,2,2.6,3.2,2.87
1719438,1,0,1,2.3,3.5,3.0
1720196,1,0,1,2.35,3.5,2.9
1719411,4,2,6,2.7,3.3,2.62
1719752,0,1,1,3.3,3.5,2.15
1719673,1,2,3,2.62,3.4,2.7
1719948,1,3,4,2.45,3.4,2.87
1720040,1,2,3,2.7,3.4,2.6
1719837,1,1,2,2.8,3.5,2.5
1719269,0,1,1,2.25,3.3,3.3
1720206,1,2,3,2.6,3.5,2.62
1719685,1,0,1,2.55,3.6,2.62
1719497,1,0,1,2.8,3.5,2.5
1719844,1,3,4,2.45,3.5,2.8
1719723,1,0,1,2.7,3.1,2.8
1719325,1,1,2,2.6,3.2,2.87
1720026,1,0,1,2.9,3.3,2.45
1719326,4,2,6,3.4,3.5,2.1
1719886,2,2,4,2.15,3.4,3.4
1720137,1,3,4,2.7,3.1,2.8
1719401,2,2,4,3.0,3.4,2.37
1719725,0,3,3,2.6,3.5,2.62
1720011,0,1,1,2.7,3.5,2.55
1719755,0,1,1,2.3,3.6,3.0
1719360,2,2,4,2.8,3.5,2.4
1719873,1,0,1,2.5,3.3,2.9
1719310,1,1,2,2.25,3.5,3.1
1719911,0,2,2,2.2,3.4,3.3
1719746,2,0,2,2.02,3.6,3.6
1719828,0,0,0,2.05,3.4,3.75
1719511,1,2,3,2.45,3.5,2.87
1719571,1,0,1,2.6,3.2,2.87
1719995,0,1,1,2.25,3.5,3.2
1719487,2,1,3,2.5,3.3,2.8
1719607,1,2,3,2.8,3.4,2.5
1719627,0,1,1,2.1,3.6,3.3
1719480,3,0,3,1.76,3.8,4.5
1719661,2,2,4,2.87,3.2,2.6
1719863,1,0,1,3.1,3.4,2.3
1720187,0,0,0,2.62,3.4,2.7
1719280,0,2,2,2.7,3.2,2.75
1719363,1,1,2,2.3,3.4,3.1
1720042,1,0,1,2.2,3.3,3.4
1719634,2,2,4,2.62,3.6,2.55
1719565,1,3,4,2.3,3.5,3.0
1719406,0,0,0,2.4,3.25,3.1
1719982,0,0,0,2.25,3.4,3.25
1719907,1,0,1,2.5,3.2,3.0
