Id da partida,Gols time casa,Gols time contra,Gols totais,Odd Casa Vence,Odd Empate,Odd Visitante Vence
1719713,0,0,0,2.2,3.3,3.4
1719998,1,0,1,2.4,3.4,3.0
1720033,2,0,2,2.25,3.4,3.25
1720100,1,0,1,2.45,3.3,2.9
1720124,0,1,1,2.4,3.3,3.0
1719799,0,0,0,2.35,3.3,3.1
1720030,2,3,5,3.1,3.4,2.3
1720126,0,0,0,2.3,3.6,3.0
1719612,0,1,1,2.4,3.3,3.0
1720166,2,1,3,2.7,3.5,2.55
1719927,0,1,1,2.35,3.1,3.3
1719260,0,0,0,2.05,3.6,3.5
1719325,1,1,2,2.6,3.2,2.87
1720137,1,3,4,2.7,3.1,2.8
1719934,1,0,1,2.05,3.4,3.75
1719809,1,0,1,2.75,3.2,2.7
1720145,2,0,2,2.9,3.3,2.45
1719380,2,2,4,2.62,3.3,2.75
1719744,1,0,1,2.55,3.5,2.7
1719431,3,2,5,2.05,3.6,3.6
1719907,1,0,1,2.5,3.2,3.0
1720112,1,2,3,2.5,3.1,3.0
1719669,1,1,2,2.9,3.3,2.45
1719855,2,2,4,2.0,3.5,3.75
1719627,0,1,1,2.1,3.6,3.3
1719889,2,0,2,2.05,3.4,3.75
1720072,2,4,6,3.0,3.3,2.4
1719939,1,1,2,3.0,3.3,2.4
1719341,3,0,3,2.3,3.5,3.0
1719617,0,2,2,3.1,3.4,2.3
1719382,0,0,0,2.4,3.3,3.0
1719806,3,0,3,2.05,3.5,3.6
1719970,0,2,2,2.37,3.4,3.0
1719960,4,0,4,2.15,3.6,3.25
1719640,1,0,1,2.6,3.5,2.62
1719862,1,3,4,2.6,3.5,2.7
1719292,0,2,2,2.3,3.5,3.0
1719844,1,3,4,2.45,3.5,2.8
1719682,2,1,3,2.15,3.5,3.3
1719975,1,1,2,2.45,3.5,2.8
1719451,1,0,1,2.1,3.6,3.4
1720159,1,2,3,2.35,3.1,3.25
1719653,2,4,6,2.62,3.3,2.75
1719802,4,0,4,2.62,3.4,2.7
1720143,3,1,4,2.1,3.5,3.5
1720212,1,0,1,2.25,3.6,3.1
1720213,2,0,2,2.2,3.6,3.1
1719649,0,3,3,2.87,3.4,2.45
1720149,2,1,3,2.1,3.6,3.3
1719422,0,3,3,2.7,3.5,2.55
1720065,2,1,3,2.4,3.3,3.0
1719679,2,1,3,2.6,3.5,2.7
1719554,3,2,5,2.55,3.25,2.87
1719736,0,0,0,2.4,3.3,3.0
1719429,2,2,4,1.95,3.6,3.8
1719912,1,3,4,2.6,3.1,2.9
1719411,4,2,6,2.7,3.3,2.62
1719877,1,1,2,2.5,3.4,2.8
1719647,0,3,3,2.75,3.6,2.5
1719766,0,0,0,2.3,3.4,3.1
1719841,1,1,2,2.55,3.25,2.87
1719800,3,1,4,2.75,3.2,2.7
1719813,0,2,2,2.4,3.5,2.87
1719723,1,0,1,2.7,3.1,2.8
1719943,4,1,5,2.75,3.5,2.5
1720144,1,0,1,2.5,3.4,2.75
1719954,1,3,4,2.6,3.4,2.7
1719607,1,2,3,2.8,3.4,2.5
1720203,0,0,0,2.25,3.6,3.0
1720021,1,0,1,2.75,3.25,2.62
1719598,0,0,0,2.4,3.25,3.1
1719522,0,0,0,2.1,3.4,3.6
1720037,2,0,2,3.0,3.5,2.35
1719304,2,1,3,1.95,3.6,3.8
1719992,2,1,3,2.75,3.5,2.5
1719481,2,0,2,2.55,3.25,2.87
1720184,0,2,2,2.87,3.6,2.37
1720218,1,2,3,2.1,3.4,3.5
1719968,1,1,2,2.07,3.5,3.5
1719348,1,0,1,2.8,3.4,2.55
1719399,0,3,3,2.87,3.4,2.45
1719883,0,2,2,3.0,3.3,2.4
1719828,0,0,0,2.05,3.4,3.75
1719287,3,0,3,2.62,3.3,2.75
1720024,0,0,0,2.4,3.5,2.87
1719890,1,0,1,3.0,3.5,2.35
1720107,1,0,1,1.98,3.5,4.0
1720210,0,3,3,2.2,3.4,3.3
1719745,0,3,3,2.8,3.3,2.55
1719716,1,1,2,2.7,3.6,2.55
1719273,1,1,2,2.6,3.5,2.7
1719730,3,2,5,2.25,3.6,3.0
1719610,2,2,4,2.9,3.3,2.45
1720089,2,2,4,2.8,3.4,2.5
1719297,2,0,2,2.1,3.5,3.5
1719620,1,1,2,2.45,3.5,2.8
1720016,2,1,3,2.62,3.3,2.7
1719498,2,1,3,2.45,3.4,2.9
1719590,0,0,0,2.7,3.4,2.6
1719546,1,1,2,2.5,3.5,2.75
1719551,0,2,2,2.9,3.3,2.45
1719807,0,3,3,2.1,3.6,3.4
1719916,0,1,1,1.98,3.5,4.0
1720075,3,2,5,2.6,3.5,2.62
1719544,0,0,0,2.2,3.3,3.4
1719953,3,2,5,2.4,3.2,3.1
1719920,1,0,1,1.95,3.5,4.0
1719438,1,0,1,2.3,3.5,3.0
1719435,2,2,4,2.2,3.25,3.5
1719995,0,1,1,2.25,3.5,3.2
