Id da partida,Gols time casa,Gols time contra,Gols totais,Odd Casa Vence,Odd Empate,Odd Visitante Vence,PRED_0,PRED_1,PRED_2,PRED_3,PRED_4,PROBABILIDADE,CONFIDENCE_LEVEL,RECOMMENDED_STAKE,Id da partida.1,Campeonato,Data,Tempo,Time da casa,Time contra,Gols time casa.1,Gols time contra.1,Gols totais.1,Odd Over 2.5,Odd Under 2.5,Odd Over 3.5,Odd Under 3.5,Odd Casa Vence.1,Odd Empate.1,Odd Visitante Vence.1,Placar Exato,Odd Placar Exato,Data das odds,HORA,COLUNA,PROBABILIDADE.1,OUTCOME
1719960.0,4.0,0.0,4.0,2.15,3.6,3.25,2.0014141278079363,2.149501149266758,3.24662767403814,2.060749844418232,3.260514090699308,0.5749219562955254,baixa,5.0,1720103,Euro,2025-05-15,,Geórgia,Itália,1,2,3,3.1,2.3,2.3,3.1,3.1,3.4,2.3,1-2,8.5,,,,0.4466457434287955,2
1719948.0,1.0,3.0,4.0,2.45,3.4,2.87,0.0046820033822293,2.4506154449968776,2.871090622329836,2.474014639937908,2.865179046742256,0.5284241326459523,baixa,5.0,1720110,Euro,2025-05-15,,Alemanha,Hungria,3,1,4,2.15,3.4,2.15,3.4,2.15,3.5,3.4,3-1,7.5,,,,0.5818215821956236,0
1720191.0,2.0,4.0,6.0,2.87,3.2,2.6,0.0737807556247427,2.869938870729923,2.5985432557955077,2.7398797616609283,2.526490489519329,0.4826964671953857,baixa,5.0,1720117,Euro,2025-05-15,,Albânia,Eslovênia,1,1,2,3.1,2.5,3.1,2.5,2.5,3.0,3.1,1-1,12.0,,,,0.5366598778004074,0
1719584.0,0.0,2.0,2.0,2.4,3.3,3.0,0.0034131297947489,2.9999715392375004,2.39906503883668,3.0015864238886687,2.398293049387677,0.5395683453237411,baixa,5.0,1720124,Euro,2025-05-15,,Escócia,Polônia,0,1,1,3.0,2.4,3.0,2.4,2.4,3.3,3.0,0-1,8.5,,,,0.5395683453237411,0
1719744.0,1.0,0.0,1.0,2.55,3.5,2.7,2.0000021741379466,2.6994747378195707,2.547575871105673,2.702105056995223,2.543595404501685,0.5103919239904988,baixa,5.0,1720131,Euro,2025-05-15,,Hungria,Dinamarca,0,0,0,2.7,2.62,2.7,2.62,2.62,3.3,2.7,0-0,9.0,,,,0.5053593179049939,2
1719669.0,1.0,1.0,2.0,2.9,3.3,2.45,0.9974956200130684,2.451435516564252,2.89568491618312,2.450533478770763,2.9040915056290286,0.47001211631663975,baixa,5.0,1720137,Euro,2025-05-15,,Albânia,Turquia,1,3,4,2.7,2.8,2.7,2.8,2.7,3.1,2.8,1-3,11.0,,,,0.5062982527427874,1
1719305.0,2.0,2.0,4.0,2.15,3.4,3.4,0.9985675869038974,2.1494733613974977,3.393637128468172,2.1193117531580783,3.3938906734323573,0.5811688311688311,baixa,5.0,1720144,Euro,2025-05-15,,Hungria,Suíça,1,0,1,2.75,2.5,2.75,2.5,2.5,3.4,2.75,1-0,7.5,,,,0.5171890798786655,1
1719661.0,2.0,2.0,4.0,2.87,3.2,2.6,0.9985675869038974,2.868927525328262,2.6028938879234778,2.7154939069249906,2.544959800031584,0.4826964671953857,baixa,5.0,1720152,Euro,2025-05-15,,Croácia,Alemanha,0,0,0,2.55,2.7,2.55,2.7,2.7,3.5,2.55,0-0,7.0,,,,0.4896080760095012,1
1719563.0,1.0,0.0,1.0,2.25,3.4,3.25,2.0000021741379466,3.2482875238608147,2.2524970077390165,3.2763925472577275,2.247102186432623,0.5653531955790485,baixa,5.0,1720159,Euro,2025-05-15,,Turquia,Albânia,1,2,3,2.35,3.25,3.25,2.35,2.35,3.1,3.25,1-2,11.0,,,,0.5558055805580557,2
1719441.0,4.0,2.0,6.0,2.9,3.25,2.5,1.996426824793934,2.899224191363595,2.505785670963488,2.8534253137788217,2.4438530674824643,0.47379032258064524,baixa,5.0,1720166,Euro,2025-05-15,,Áustria,Espanha,2,1,3,2.7,2.55,2.55,2.7,2.7,3.5,2.55,2-1,7.0,,,,0.4896080760095012,2
