Id da partida,Campeonato,Data,Tempo,Time da casa,Time contra,Gols time casa,Gols time contra,Gols totais,Odd Over 2.5,Odd Under 2.5,Odd Over 3.5,Odd Under 3.5,Odd Casa Vence,Odd Empate,Odd Visitante Vence,Placar Exato,Odd Placar Exato,Data das odds
1770610,Euro,2025-05-30,4:35,Hungria,Itália,1,2,3,2.70,2.62,2.62,2.70,2.70,3.30,2.62,1-2,8.50,30-05-2025 02:16
1770615,Euro,2025-05-30,4:38,Suíça,Geórgia,1,0,1,3.50,2.10,3.50,2.10,2.10,3.50,3.50,1-0,7.50,30-05-2025 02:16
1770624,Euro,2025-05-30,4:41,Alemanha,Polônia,2,1,3,2.07,3.60,3.60,2.07,2.07,3.40,3.60,2-1,8.00,30-05-2025 02:16
1770631,Euro,2025-05-30,4:44,Itália,Dinamarca,1,3,4,2.40,3.00,2.40,3.00,2.40,3.30,3.00,1-3,8.50,30-05-2025 02:16
1770638,Euro,2025-05-30,4:47,Geórgia,Suíça,0,0,0,2.45,2.87,2.45,2.87,2.87,3.40,2.45,0-0,7.50,30-05-2025 02:16
1770645,Euro,2025-05-30,4:50,Dinamarca,Itália,2,1,3,2.55,2.80,2.80,2.55,2.55,3.30,2.80,2-1,8.50,30-05-2025 02:16
1770652,Euro,2025-05-30,4:53,Romênia,Eslovênia,2,0,2,2.90,2.50,2.90,2.50,2.50,3.30,2.90,2-0,9.00,30-05-2025 02:16
1770659,Euro,2025-05-30,4:56,Ucrânia,Escócia,1,0,1,2.75,2.50,2.75,2.50,2.50,3.40,2.75,1-0,7.50,30-05-2025 02:16
1770666,Euro,2025-05-30,4:59,Áustria,República Tcheca,1,1,2,3.10,2.40,3.10,2.40,2.40,3.25,3.10,1-1,9.00,30-05-2025 02:16
1770393,Euro,2025-05-30,3:02,França,Ucrânia,0,1,1,3.60,2.02,3.60,2.02,2.02,3.60,3.60,0-1,7.00,30-05-2025 02:16
1770400,Euro,2025-05-30,3:05,Eslovênia,Turquia,1,4,5,2.70,2.80,2.70,2.80,2.70,3.10,2.80,1-4,11.00,30-05-2025 02:16
1770407,Euro,2025-05-30,3:08,Polônia,Espanha,3,1,4,2.87,2.45,2.87,2.45,2.87,3.40,2.45,3-1,7.50,30-05-2025 02:16
1770414,Euro,2025-05-30,3:11,Escócia,Hungria,1,1,2,2.87,2.45,2.87,2.45,2.45,3.40,2.87,1-1,8.00,30-05-2025 02:16
1770421,Euro,2025-05-30,3:14,França,Geórgia,0,0,0,4.20,1.86,4.20,1.86,1.86,3.60,4.20,0-0,7.50,30-05-2025 02:16
1770428,Euro,2025-05-30,3:17,Hungria,República Tcheca,0,2,2,3.00,2.50,3.00,2.50,2.50,3.20,3.00,0-2,10.00,30-05-2025 02:16
1770435,Euro,2025-05-30,3:20,Dinamarca,Alemanha,2,2,4,2.70,2.60,2.70,2.60,2.70,3.40,2.60,2-2,7.50,30-05-2025 02:16
1770442,Euro,2025-05-30,3:23,Espanha,Hungria,0,1,1,3.25,2.20,3.25,2.20,2.20,3.50,3.25,0-1,7.50,30-05-2025 02:16
1770449,Euro,2025-05-30,3:26,Portugal,Albânia,0,0,0,3.60,2.15,3.60,2.15,2.15,3.30,3.60,0-0,9.00,30-05-2025 02:16
1770456,Euro,2025-05-30,3:29,Inglaterra,República Tcheca,3,1,4,2.07,3.60,2.07,3.60,2.07,3.40,3.60,3-1,8.00,30-05-2025 02:16
1770463,Euro,2025-05-30,3:32,Eslovênia,Países Baixos,2,0,2,2.62,2.70,2.62,2.70,2.70,3.30,2.62,2-0,8.50,30-05-2025 02:16
1770470,Euro,2025-05-30,3:35,Croácia,Suíça,1,5,6,2.37,2.90,2.37,2.90,2.37,3.50,2.90,1-5,7.00,30-05-2025 02:16
1770477,Euro,2025-05-30,3:38,Itália,Sérvia,1,0,1,3.10,2.35,3.10,2.35,2.35,3.30,3.10,1-0,9.00,30-05-2025 02:16
1770484,Euro,2025-05-30,3:41,Inglaterra,Romênia,2,0,2,3.60,2.00,3.60,2.00,2.00,3.60,3.60,2-0,6.50,30-05-2025 02:16
1770491,Euro,2025-05-30,3:44,França,Eslováquia,0,1,1,4.00,1.90,4.00,1.90,1.90,3.60,4.00,0-1,7.00,30-05-2025 02:16
1770498,Euro,2025-05-30,3:47,Albânia,Bélgica,2,3,5,2.80,2.55,2.80,2.55,2.80,3.30,2.55,2-3,8.50,30-05-2025 02:16
1770505,Euro,2025-05-30,3:50,França,Romênia,4,1,5,2.00,3.60,2.00,3.60,2.00,3.60,3.60,4-1,6.50,30-05-2025 02:16
1770512,Euro,2025-05-30,3:53,Eslovênia,Ucrânia,0,2,2,3.00,2.45,3.00,2.45,2.45,3.20,3.00,0-2,10.00,30-05-2025 02:16
1770519,Euro,2025-05-30,3:56,Áustria,Albânia,0,1,1,3.20,2.35,3.20,2.35,2.35,3.20,3.20,0-1,10.00,30-05-2025 02:16
1770526,Euro,2025-05-30,3:59,Croácia,França,1,1,2,2.45,2.75,2.45,2.75,2.75,3.50,2.45,1-1,6.50,30-05-2025 02:16
