Id da partida,Gols time casa,Gols time contra,Gols totais,Odd Casa Vence,Odd Empate,Odd Visitante Vence
1720192,0,2,2,2.45,3.2,3.0
1719525,3,2,5,2.35,3.3,3.1
1719942,0,0,0,2.02,3.4,3.8
1719532,0,1,1,2.4,3.2,3.1
1719631,2,0,2,2.62,3.2,2.75
1719643,0,1,1,2.05,3.4,3.75
1719340,2,2,4,2.37,3.25,3.1
1719594,1,2,3,1.86,3.6,4.2
1719981,1,1,2,2.9,3.6,2.3
1720105,1,1,2,2.0,3.6,3.75
1719449,3,2,5,1.95,3.75,3.75
1719269,0,1,1,2.25,3.3,3.3
1720002,1,3,4,3.0,3.5,2.35
1719396,1,3,4,3.0,3.4,2.37
1719889,2,0,2,2.05,3.4,3.75
1719953,3,2,5,2.4,3.2,3.1
1719766,0,0,0,2.3,3.4,3.1
1720107,1,0,1,1.98,3.5,4.0
1719581,0,0,0,2.7,3.3,2.62
1719399,0,3,3,2.87,3.4,2.45
1720029,2,1,3,2.8,3.3,2.55
1719260,0,0,0,2.05,3.6,3.5
1719609,2,0,2,2.7,3.4,2.6
1719865,2,0,2,1.95,3.6,3.8
1719603,1,2,3,2.3,3.6,3.0
1719807,0,3,3,2.1,3.6,3.4
1719291,0,1,1,2.1,3.5,3.5
1719263,0,2,2,1.76,3.8,4.33
1719521,1,1,2,2.3,3.3,3.2
1719959,1,1,2,3.2,3.5,2.2
1720222,2,1,3,2.7,3.3,2.62
1719408,0,2,2,2.25,3.6,3.0
1720175,2,0,2,1.85,3.75,4.2
1719984,1,2,3,3.0,3.5,2.35
1720144,1,0,1,2.5,3.4,2.75
1719652,1,1,2,2.75,3.2,2.7
1720086,1,1,2,2.62,3.3,2.7
1720117,1,1,2,2.5,3.0,3.1
1720170,3,1,4,2.5,3.5,2.75
1719397,1,2,3,2.7,3.4,2.6
1719752,0,1,1,3.3,3.5,2.15
1719462,0,2,2,2.55,3.3,2.8
1719272,1,1,2,2.5,3.3,2.9
1719347,2,0,2,2.37,3.4,3.0
1720109,1,1,2,2.9,3.3,2.45
1720035,0,0,0,2.1,3.3,3.6
1719302,2,1,3,2.55,3.3,2.8
1719935,0,0,0,2.37,3.3,3.0
1719744,1,0,1,2.55,3.5,2.7
1719640,1,0,1,2.6,3.5,2.62
1719292,0,2,2,2.3,3.5,3.0
1719895,2,2,4,2.2,3.5,3.2
1719523,0,0,0,3.1,3.5,2.3
1720078,0,0,0,2.75,3.5,2.45
1720072,2,4,6,3.0,3.3,2.4
1719768,2,1,3,2.37,3.5,2.9
1719427,1,0,1,2.15,3.5,3.4
1719515,1,1,2,1.98,3.5,3.8
1720137,1,3,4,2.7,3.1,2.8
1719932,1,0,1,2.35,3.6,2.87
1719934,1,0,1,2.05,3.4,3.75
1720138,2,0,2,3.0,3.3,2.4
1719549,2,2,4,2.45,3.6,2.75
1719385,0,1,1,3.1,3.4,2.3
1719725,0,3,3,2.6,3.5,2.62
1720110,3,1,4,2.15,3.5,3.4
1719590,0,0,0,2.7,3.4,2.6
1719963,1,1,2,2.15,3.3,3.6
1719669,1,1,2,2.9,3.3,2.45
1719943,4,1,5,2.75,3.5,2.5
1719659,0,1,1,2.15,3.6,3.25
1719921,1,1,2,3.1,3.4,2.3
1719698,0,1,1,2.6,3.5,2.7
1720213,2,0,2,2.2,3.6,3.1
1719596,3,2,5,2.7,3.4,2.6
1719530,2,1,3,2.25,3.4,3.2
1719613,0,1,1,2.55,3.5,2.7
1719786,1,1,2,3.4,3.5,2.1
1720218,1,2,3,2.1,3.4,3.5
1719339,0,1,1,2.7,3.4,2.6
1719914,0,4,4,2.3,3.6,2.9
1719842,0,1,1,2.0,3.5,3.75
1719636,3,0,3,1.95,3.6,3.8
1719582,2,1,3,2.55,3.25,2.87
1720061,0,2,2,2.8,3.4,2.5
1719708,3,0,3,2.9,3.3,2.45
1719429,2,2,4,1.95,3.6,3.8
1719701,1,1,2,3.3,3.5,2.15
1720154,0,0,0,2.55,3.3,2.8
1719879,1,1,2,2.15,3.5,3.4
1719529,2,1,3,2.45,3.1,3.2
1719764,2,2,4,2.25,3.5,3.1
1719666,2,1,3,2.6,3.5,2.7
1719506,2,1,3,2.1,3.5,3.5
1719675,1,1,2,2.02,3.6,3.6
1720044,0,1,1,2.1,3.5,3.5
1720210,0,3,3,2.2,3.4,3.3
1719715,0,1,1,2.5,3.2,3.0
1719992,2,1,3,2.75,3.5,2.5
1719900,1,1,2,2.3,3.5,3.1
1719348,1,0,1,2.8,3.4,2.55
1719815,0,2,2,2.5,3.3,2.8
1719607,1,2,3,2.8,3.4,2.5
1719322,1,3,4,2.45,3.4,2.9
1719844,1,3,4,2.45,3.5,2.8
1719716,1,1,2,2.7,3.6,2.55
1719630,3,1,4,1.85,3.6,4.2
1719505,0,0,0,2.3,3.2,3.4
1719690,0,2,2,3.1,3.5,2.25
1719757,2,0,2,2.25,3.4,3.25
