Id da partida,Gols time casa,Gols time contra,Gols totais,Odd Casa Vence,Odd Empate,Odd Visitante Vence
1720208,0,2,2,2.7,3.2,2.75
1720110,3,1,4,2.15,3.5,3.4
1719562,1,0,1,1.95,3.6,3.8
1719373,3,2,5,2.35,3.5,2.9
1719306,0,1,1,2.25,3.3,3.3
1720224,2,1,3,2.7,3.3,2.62
1719979,1,1,2,2.35,3.6,2.9
1719585,0,2,2,2.7,3.3,2.62
1719981,1,1,2,2.9,3.6,2.3
1719443,1,2,3,2.4,3.5,2.87
1719614,0,0,0,2.0,3.6,3.6
1720084,3,3,6,2.45,3.5,2.8
1719876,2,1,3,3.2,3.5,2.2
1719417,1,2,3,2.6,3.5,2.62
1719581,0,0,0,2.7,3.3,2.62
1720059,0,0,0,2.6,3.4,2.7
1719650,2,2,4,2.25,3.4,3.2
1719610,2,2,4,2.9,3.3,2.45
1719766,0,0,0,2.3,3.4,3.1
1720215,0,0,0,2.7,3.4,2.6
1719940,1,0,1,2.6,3.5,2.7
1719329,1,2,3,2.7,3.2,2.75
1719542,1,1,2,2.0,3.6,3.75
1719397,1,2,3,2.7,3.4,2.6
1719394,2,3,5,2.15,3.6,3.25
1719641,2,1,3,2.25,3.3,3.3
1719346,1,1,2,2.37,3.5,2.9
1719828,0,0,0,2.05,3.4,3.75
1719483,2,1,3,2.0,3.6,3.6
1719410,1,4,5,3.2,3.5,2.2
1720140,0,2,2,2.25,3.5,3.2
1719860,0,1,1,2.1,3.5,3.5
1719462,0,2,2,2.55,3.3,2.8
1719661,2,2,4,2.87,3.2,2.6
1719292,0,2,2,2.3,3.5,3.0
1719403,0,0,0,2.55,3.2,2.9
1720040,1,2,3,2.7,3.4,2.6
1719732,3,0,3,2.87,3.2,2.6
1719835,1,2,3,3.6,3.75,1.98
1719778,0,2,2,3.25,3.4,2.25
1719541,1,2,3,2.2,3.25,3.5
1719420,0,1,1,2.9,3.4,2.45
1719935,0,0,0,2.37,3.3,3.0
1719788,0,1,1,2.3,3.4,3.1
1719263,0,2,2,1.76,3.8,4.33
1719422,0,3,3,2.7,3.5,2.55
1719546,1,1,2,2.5,3.5,2.75
1719718,1,1,2,2.6,3.2,2.87
1719961,1,2,3,2.87,3.5,2.4
1720073,0,0,0,2.8,3.6,2.4
1719273,1,1,2,2.6,3.5,2.7
1719480,3,0,3,1.76,3.8,4.5
1720168,1,0,1,2.55,3.25,2.87
1719627,0,1,1,2.1,3.6,3.3
1720054,1,1,2,2.15,3.5,3.4
1720182,0,2,2,2.3,3.6,3.0
1719677,1,2,3,2.15,3.4,3.5
1719893,2,1,3,2.25,3.5,3.1
1720109,1,1,2,2.9,3.3,2.45
1720220,2,0,2,2.05,3.4,3.75
1719647,0,3,3,2.75,3.6,2.5
1719830,2,0,2,2.37,3.5,2.9
1719392,0,0,0,2.3,3.6,3.0
1720192,0,2,2,2.45,3.2,3.0
1719963,1,1,2,2.15,3.3,3.6
1719771,2,0,2,2.9,3.25,2.5
1720068,1,2,3,2.7,3.2,2.75
1720101,1,2,3,2.15,3.5,3.3
1719937,1,1,2,2.05,3.5,3.6
1719363,1,1,2,2.3,3.4,3.1
1719452,2,0,2,2.35,3.4,3.0
1719862,1,3,4,2.6,3.5,2.7
1719582,2,1,3,2.55,3.25,2.87
1719451,1,0,1,2.1,3.6,3.4
1720056,1,0,1,3.1,3.5,2.25
1719897,4,0,4,2.35,3.5,2.9
1719760,0,1,1,2.2,3.5,3.3
1720148,1,2,3,3.1,3.4,2.3
1719737,1,0,1,2.4,3.3,3.0
1720016,2,1,3,2.62,3.3,2.7
1719657,3,1,4,2.1,3.6,3.4
1719623,1,2,3,2.75,3.2,2.7
1720145,2,0,2,2.9,3.3,2.45
1719277,1,2,3,2.25,3.4,3.25
1720115,0,2,2,2.37,3.5,2.9
1719813,0,2,2,2.4,3.5,2.87
1719905,3,0,3,2.25,3.3,3.3
1719736,0,0,0,2.4,3.3,3.0
1719975,1,1,2,2.45,3.5,2.8
1719818,0,1,1,2.75,3.5,2.45
1719352,2,2,4,2.62,3.3,2.7
1720095,2,2,4,3.2,3.6,2.2
1719812,0,2,2,3.3,3.5,2.15
1719911,0,2,2,2.2,3.4,3.3
1720213,2,0,2,2.2,3.6,3.1
1719774,0,3,3,2.7,3.4,2.6
1719820,1,3,4,2.62,3.5,2.6
1719555,2,1,3,3.2,3.6,2.2
1720103,1,2,3,3.1,3.4,2.3
1719605,1,1,2,2.5,3.3,2.9
1720011,0,1,1,2.7,3.5,2.55
1719360,2,2,4,2.8,3.5,2.4
1720019,2,1,3,2.75,3.5,2.45
1719638,2,1,3,2.1,3.4,3.5
1719834,1,2,3,2.5,3.5,2.75
1720200,2,0,2,2.3,3.5,3.0
1720135,1,1,2,3.0,3.5,2.3
1720082,1,1,2,2.25,3.4,3.25
1719877,1,1,2,2.5,3.4,2.8
1719529,2,1,3,2.45,3.1,3.2
