Id da partida,Gols time casa,Gols time contra,Gols totais,Odd Casa Vence,Odd Empate,Odd Visitante Vence
1719848,1,1,2,2.55,3.6,2.62
1720128,2,1,3,2.0,3.5,3.75
1719380,2,2,4,2.62,3.3,2.75
1719638,2,1,3,2.1,3.4,3.5
1720194,0,0,0,2.6,3.5,2.62
1719589,2,2,4,1.95,3.6,3.8
1719988,1,2,3,2.2,3.3,3.4
1719986,1,1,2,2.4,3.3,3.0
1719650,2,2,4,2.25,3.4,3.2
1719459,2,0,2,2.15,3.4,3.4
1720119,1,1,2,3.1,3.5,2.3
1719975,1,1,2,2.45,3.5,2.8
1720170,3,1,4,2.5,3.5,2.75
1719928,1,3,4,2.55,3.4,2.75
1720107,1,0,1,1.98,3.5,4.0
1720131,0,0,0,2.62,3.3,2.7
1720005,0,3,3,2.35,3.1,3.25
1719475,2,0,2,2.75,3.5,2.5
1719998,1,0,1,2.4,3.4,3.0
1719285,1,2,3,3.8,3.75,1.93
1719844,1,3,4,2.45,3.5,2.8
1720218,1,2,3,2.1,3.4,3.5
1719587,0,0,0,1.95,3.6,3.8
1719333,2,1,3,2.8,3.3,2.55
1719455,1,0,1,2.3,3.6,3.0
1719919,0,0,0,2.15,3.6,3.25
1719837,1,1,2,2.8,3.5,2.5
1719995,0,1,1,2.25,3.5,3.2
1719563,1,0,1,2.25,3.4,3.25
1719627,0,1,1,2.1,3.6,3.3
1719778,0,2,2,3.25,3.4,2.25
1719821,1,3,4,2.45,3.4,2.9
1719669,1,1,2,2.9,3.3,2.45
1719529,2,1,3,2.45,3.1,3.2
1720210,0,3,3,2.2,3.4,3.3
1719534,4,2,6,1.95,3.6,3.8
1720031,3,4,7,2.7,3.5,2.55
1719510,0,1,1,2.2,3.25,3.5
1719875,1,1,2,2.62,3.5,2.62
1719378,2,1,3,2.37,3.4,3.0
1719483,2,1,3,2.0,3.6,3.6
1719690,0,2,2,3.1,3.5,2.25
1720046,0,1,1,2.3,3.3,3.2
1719722,1,3,4,3.0,3.5,2.3
1719755,0,1,1,2.3,3.6,3.0
1720024,0,0,0,2.4,3.5,2.87
1719503,3,1,4,2.05,3.5,3.6
1719310,1,1,2,2.25,3.5,3.1
1719429,2,2,4,1.95,3.6,3.8
1719441,4,2,6,2.9,3.25,2.5
1719581,0,0,0,2.7,3.3,2.62
1719596,3,2,5,2.7,3.4,2.6
1719415,0,3,3,2.07,3.4,3.75
1720212,1,0,1,2.25,3.6,3.1
1719313,1,0,1,2.8,3.3,2.55
1719620,1,1,2,2.45,3.5,2.8
1720061,0,2,2,2.8,3.4,2.5
1719762,0,1,1,2.62,3.2,2.75
1719788,0,1,1,2.3,3.4,3.1
1719320,2,0,2,2.25,3.2,3.4
1719487,2,1,3,2.5,3.3,2.8
1719360,2,2,4,2.8,3.5,2.4
1719937,1,1,2,2.05,3.5,3.6
1719847,2,0,2,2.75,3.2,2.7
1719768,2,1,3,2.37,3.5,2.9
1720078,0,0,0,2.75,3.5,2.45
1719718,1,1,2,2.6,3.2,2.87
1720054,1,1,2,2.15,3.5,3.4
1720013,3,2,5,2.9,3.6,2.3
1719694,3,1,4,2.5,3.2,3.0
1719571,1,0,1,2.6,3.2,2.87
1719332,3,3,6,1.95,3.6,3.8
1719297,2,0,2,2.1,3.5,3.5
1720033,2,0,2,2.25,3.4,3.25
1719447,0,1,1,2.55,3.3,2.8
1719679,2,1,3,2.6,3.5,2.7
1719542,1,1,2,2.0,3.6,3.75
1719443,1,2,3,2.4,3.5,2.87
1719260,0,0,0,2.05,3.6,3.5
1719769,2,0,2,2.0,3.6,3.75
1719496,1,1,2,2.35,3.4,3.1
1719560,3,0,3,2.5,3.6,2.7
1719946,2,0,2,2.8,3.3,2.55
1719575,2,0,2,2.0,3.6,3.6
1719748,2,1,3,3.2,3.6,2.2
1719486,3,1,4,3.2,3.6,2.2
1719302,2,1,3,2.55,3.3,2.8
1719406,0,0,0,2.4,3.25,3.1
1719465,4,1,5,1.72,3.8,4.75
1719617,0,2,2,3.1,3.4,2.3
1719335,0,1,1,2.37,3.6,2.87
1719883,0,2,2,3.0,3.3,2.4
1719729,1,1,2,3.3,3.6,2.15
1719411,4,2,6,2.7,3.3,2.62
1719546,1,1,2,2.5,3.5,2.75
1719505,0,0,0,2.3,3.2,3.4
1719460,2,1,3,3.1,3.5,2.25
1719664,0,1,1,1.95,3.75,3.8
1719711,1,0,1,2.37,3.5,2.9
1719392,0,0,0,2.3,3.6,3.0
1719820,1,3,4,2.62,3.5,2.6
1719614,0,0,0,2.0,3.6,3.6
1719849,1,3,4,1.9,3.6,4.0
1719834,1,2,3,2.5,3.5,2.75
1719506,2,1,3,2.1,3.5,3.5
1720226,1,2,3,3.4,3.5,2.1
1719732,3,0,3,2.87,3.2,2.6
1720003,0,0,0,3.2,3.5,2.2
1719977,0,4,4,2.35,3.4,3.1
1720040,1,2,3,2.7,3.4,2.6
